Gene.Symbol
ABAT
ABCA3
ADCY1
AMFR
ANXA9
ARL3
ASB13
BAG1
BCL2
BHLHE40
CA12
CCND1
CD44
CELSR2
CHPT1
EGR3
ELF1
ELOVL2
ELOVL5
FARP1
FLNB
FOS
GFRA1
GREB1
IGF1R
IGFBP4
IL17RB
IL6ST
ITPK1
KCNK15
KDM4B
KRT15
LRIG1
MAPT
MAST4
MED13L
MLPH
MPPED2
MUC1
MYB
MYOF
NCOR2
NPY1R
NRIP1
OLFM1
OVOL2
PDZK1
PGR
RAB17
RARA
RBBP8
REEP1
RPS6KA2
SEC14L2
SEMA3B
SLC22A5
SLC27A2
SLC39A6
SLC7A2
SNX24
STC2
SYBU
SYNGR1
TFF1
TFF3
THSD4
TJP3
UGCG
WFS1
XBP1
