,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
NDUFB4,1031,1105,984,1097,1372,935
NDUFB5,1120,1291,1057,1165,1586,1011
NDUFB6,1033,1181,965,1291,1594,1073
NDUFB7,1446,1841,1480,1654,1869,1256
NDUFB8,1402,1559,1315,1690,2220,1437
NDUFB9,608,720,586,782,962,608
NDUFB10,911,1137,886,897,1274,814
NDUFC1,285,370,278,375,487,369
NDUFC2,854,1016,801,883,1104,770
NDUFS1,4251,4861,4041,4397,5621,3965
ATM,2748,2655,2744,3070,3934,2908
NDUFS2,1513,1838,1462,1926,2469,1630
NDUFS3,841,1129,865,1115,1409,868
NDUFV1,1817,2168,1864,2177,2731,1695
NDUFS4,567,627,547,954,1322,896
NDUFS5,2383,2868,2251,2687,3502,2349
NDUFS6,775,980,716,970,1164,744
NDUFS8,1422,1761,1393,1741,2009,1259
NDUFV2,1518,1643,1366,1606,2077,1461
RERE,1962,2310,2240,2243,2669,1971
NDUFV3,522,603,542,675,775,558
DRG1,1080,1254,1011,1269,1704,1048
NEDD4,1260,1521,1270,1229,1447,1064
SEPTIN2,12163,13348,12028,12522,15697,11087
RPL10A,10903,12785,10195,12499,15839,10369
NEDD8,1684,2144,1679,1838,2215,1473
NEDD9,994,1178,1017,677,789,565
LRRC37A2,253,267,241,273,379,239
SUMO1P3,47,53,49,48,75,62
SPIN2B,208,254,213,223,253,185
F8A2,229,279,232,288,345,164
F8A3,190,214,188,234,269,150
NEFH,5,3,3,2,4,1
NEFL,3,4,2,2,3,1
ATOX1,1116,1415,1102,1181,1518,924
NEK1,469,576,490,567,756,551
NEK2,1307,1536,1312,1561,2032,1390
NEK3,134,146,130,126,159,99
NELL2,29,26,29,23,59,31
NEO1,419,512,475,695,841,569
NEU1,1572,1946,1534,1568,2008,1294
ATP1A1,63506,74423,63893,56671,67743,47578
NF1,1291,1295,1452,1386,1704,1257
NF2,371,408,391,564,771,467
NFATC1,142,159,116,206,230,147
NFATC2,395,434,392,760,920,630
NFIA,858,939,851,830,1135,903
NFATC3,1233,1425,1267,1631,1836,1314
NFATC4,13,24,19,23,28,24
NFE2,13,7,16,15,14,7
NFE2L1,7213,8147,7137,9626,11829,8058
ATP1A3,124,148,117,191,175,121
NFE2L2,1755,2061,1817,2504,3125,2264
NFIB,1085,1242,1202,1347,1638,1242
NFIC,4178,4904,4380,4810,5359,3493
NFIL3,418,494,419,503,719,469
NFIX,1811,2068,1851,2351,2767,1835
NFKB1,929,1023,889,1250,1427,1036
NFKB2,2187,2524,2278,2498,2838,1851
NFKBIA,2697,3232,2645,2690,2992,2183
NFKBIB,351,434,342,468,593,380
NFKBIE,683,816,630,853,929,575
NFKBIL1,646,758,535,623,832,568
TONSL,905,1114,961,1631,2004,1231
NFRKB,1200,1355,1245,1380,1732,1159
NFX1,1041,1185,1113,1380,1656,1184
ACO1,2759,3038,2766,4148,5130,3468
NFYA,1984,2229,1954,2652,3095,2341
NFYB,533,628,519,638,900,607
NFYC,1359,1584,1307,1579,1883,1312
NGF,90,103,84,87,119,68
NGFR,280,340,251,387,440,276
NHLH1,25,25,16,7,6,5
SNU13,2125,2596,2143,2608,3198,2108
ATP1B1,11927,13311,11552,7386,8082,6897
NHS,616,654,676,727,847,630
NINJ1,528,708,534,524,620,428
NINJ2,140,203,148,96,115,66
NIT1,588,646,533,659,942,627
NKTR,4121,3965,4999,4149,4936,4138
NKX3-1,237,247,234,451,471,332
NNAT,77,78,79,81,90,51
NMB,73,77,47,112,153,94
NMBR,2,9,4,16,12,6
ATP1B3,3312,3997,3175,2980,3652,2528
NME1,1004,1253,998,1769,2239,1344
NME2,3483,4324,3280,4065,5300,3292
NME3,283,350,291,324,405,228
NME4,859,1039,823,898,1127,789
NQO2,459,632,451,614,792,519
NMT1,3528,4178,3444,4816,5597,3914
NNMT,113,140,92,212,291,179
NODAL,17,18,12,16,19,15
NOP2,979,1211,1002,1487,1728,1173
NONO,10171,12110,10187,16232,19756,14026
NOS1,0,0,0,14,7,0
NOS3,11,14,8,23,31,21
CNOT2,1317,1344,1232,1453,1682,1188
CNOT3,1754,2065,1783,2077,2475,1685
CNOT4,440,502,443,466,637,470
NOTCH1,1168,1406,1257,1764,2078,1339
NOTCH2,9034,10345,9857,13661,15886,11332
NOTCH3,14,17,24,20,37,24
NOTCH4,33,37,41,47,33,28
CCN3,284,335,299,250,310,240
PNP,1216,1531,1213,2200,2942,1869
NPAS1,56,61,37,54,65,40
NPAS2,4990,5717,5158,5107,6209,4213
NPAT,796,923,816,1181,1527,1033
NPC1,3734,4240,3784,4292,5468,3764
NPHP1,68,99,79,57,86,70
NPM1,24847,27771,22818,34490,43187,32604
ATP2A1,66,64,67,37,44,27
NPPA,15,13,20,17,27,17
ATP2A2,7173,8445,7361,12536,14748,10348
NPR1,11,16,11,11,5,7
NPR2,207,204,204,182,253,154
NPR3,43,40,41,42,63,42
NPY1R,31,34,31,41,55,30
ATP2A3,8,9,8,11,21,8
SLC11A2,1257,1472,1302,1088,1223,875
NRAS,4080,4431,3895,3991,4793,3527
NRCAM,19,15,11,15,18,19
NRDC,5905,6872,5940,7715,9416,6924
NRF1,402,529,450,563,682,419
ATP2B1,4465,4650,4493,4704,5833,4472
NRGN,408,598,435,693,844,570
NRL,55,65,46,62,86,47
NRTN,33,54,41,31,37,21
YBX1,19494,23757,18579,21562,26856,18193
NSF,1728,1957,1652,2031,2551,1767
NT5E,14115,15882,13738,13701,16838,12290
NTF3,24,28,31,44,46,31
NTF4,4,4,3,7,15,7
ATP2B2,4,1,4,6,5,0
NTHL1,328,413,311,337,399,232
NTRK2,6,10,8,8,9,0
NTRK3,5,10,7,3,4,4
NTN3,8,8,4,2,8,1
ROR1,1589,1856,1624,2045,2213,1662
DDR2,76,67,73,90,91,87
NTSR1,11,9,10,10,24,15
GEMIN8P4,24,25,36,34,48,36
IGIP,387,381,370,247,360,255
NUCB1,3565,4408,3663,4243,5360,3361
NUCB2,1578,1856,1566,2322,2813,2245
NUMA1,10591,12234,11136,11205,13394,8911
NUP88,2152,2534,2076,2491,3231,2165
NUP98,4751,5265,4703,6451,7419,5213
NR4A2,486,476,453,263,260,219
ATP2B4,3452,3681,3640,4144,5023,3602
NVL,1048,1147,1148,1346,1591,1106
GPR143,5,3,2,3,5,3
COA5,488,520,487,393,596,381
RABGEF1P1,428,489,406,457,635,410
OAS1,295,371,288,365,507,350
HCG11,191,255,227,190,234,177
