Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
NLE1,1792,1916,1188,1007,1093,2704,1784
RNF216,3266,3398,3381,2226,3079,5132,3098
PLEKHA5,588,622,707,544,539,779,555
PIMREG,410,380,101,131,33,479,381
CHPF2,2176,2439,3464,1093,3150,4366,2187
TRMT13,393,299,289,346,288,501,400
DGCR8,2776,2184,2424,1576,1990,3579,2656
POU1F1,1,2,1,2,5,4,0
OTULINL,194,152,116,208,89,344,206
NEURL1B,2758,2203,2364,1148,1458,3165,2435
C11orf71,200,296,331,229,296,446,155
TMX3,1427,1800,1309,1268,1149,2435,1491
PRMT7,818,774,684,446,540,1146,845
HEATR5B,2304,2343,2530,1743,2205,3382,2225
SMOX,147,130,215,61,237,145,111
TMCO1,3446,3247,3213,2626,3135,4858,3189
ATR,3738,3155,3787,2811,2933,5275,3440
RBM47,5066,4192,3487,2870,2897,5538,4608
ZDHHC13,747,633,775,555,578,1086,720
CPVL,0,2,8,0,13,0,1
DHX29,1814,2084,1930,1353,1704,2619,1593
ADAMTSL4,149,153,419,98,512,397,119
