"","genename","ensembleID","entrezgene_id"
"TMEM132A","TMEM132A","ENSG00000006118",54972
"AP2B1","AP2B1","ENSG00000006125",163
"TAC1","TAC1","ENSG00000006128",6863
"ZNF263","ZNF263","ENSG00000006194",10127
"CX3CL1","CX3CL1","ENSG00000006210",6376
"SPATA20","SPATA20","ENSG00000006282",64847
"CACNA1G","CACNA1G","ENSG00000006283",8913
"TNFRSF12A","TNFRSF12A","ENSG00000006327",51330
"DLX6","DLX6","ENSG00000006377",1750
"MAP3K9","MAP3K9","ENSG00000006432",4293
"RALA","RALA","ENSG00000006451",5898
"BAIAP2L1","BAIAP2L1","ENSG00000006453",55971
"KDM7A","KDM7A","ENSG00000006459",80853
"ETV1","ETV1","ENSG00000006468",2115
"AGK (ENSG00000006530)","AGK (ENSG00000006530)","ENSG00000006530",55750
"ALDH3B1","ALDH3B1","ENSG00000006534",221
"TTC22","TTC22","ENSG00000006555",55001
"PHTF2","PHTF2","ENSG00000006576",57157
"CCL26","CCL26","ENSG00000006606",10344
"FARP2","FARP2","ENSG00000006607",9855
"USH1C","USH1C","ENSG00000006611",10083
"GGCT","GGCT","ENSG00000006625",79017
"DBF4","DBF4","ENSG00000006634",10926
"TBXA2R","TBXA2R","ENSG00000006638",6915
"IFRD1","IFRD1","ENSG00000006652",3475
"LGALS14","LGALS14","ENSG00000006659",56891
"COX10","COX10","ENSG00000006695",1352
"GTF2IRD1","GTF2IRD1","ENSG00000006704",9569
"PAF1","PAF1","ENSG00000006712",54623
"VPS41","VPS41","ENSG00000006715",27072
"ARHGAP44","ARHGAP44","ENSG00000006740",9912
"ELAC2","ELAC2","ENSG00000006744",60528
"SCIN","SCIN","ENSG00000006747",85477
"ARSD","ARSD","ENSG00000006756",414
"PNPLA4","PNPLA4","ENSG00000006757",8228
"MYH13","MYH13","ENSG00000006788",8735
"ADIPOR2","ADIPOR2","ENSG00000006831",79602
"CDKL3","CDKL3","ENSG00000006837",51265
"UPP2","UPP2","ENSG00000007001",151531
"PRSS21","PRSS21","ENSG00000007038",10942
"MARK4","MARK4","ENSG00000007047",57787
"PROM1","PROM1","ENSG00000007062",8842
"CCDC124","CCDC124","ENSG00000007080",115098
"CEACAM21","CEACAM21","ENSG00000007129",90273
"PAFAH1B1","PAFAH1B1","ENSG00000007168",5048
"NOS2","NOS2","ENSG00000007171",4843
"DNAH9","DNAH9","ENSG00000007174",1770
"KIAA0100","KIAA0100","ENSG00000007202",9703
"SLC13A2","SLC13A2","ENSG00000007216",9058
"GAS7","GAS7","ENSG00000007237",8522
"TRAPPC6A","TRAPPC6A","ENSG00000007255",79090
"MATK","MATK","ENSG00000007264",4145
"CEACAM7","CEACAM7","ENSG00000007306",1087
"CD79B","CD79B","ENSG00000007312",974
"SCN4A","SCN4A","ENSG00000007314",6329
"ST7L","ST7L","ENSG00000007341",54879
"TKTL1","TKTL1","ENSG00000007350",8277
"PAX6","PAX6","ENSG00000007372",5080
"RPUSD1","RPUSD1","ENSG00000007376",113000
"RHBDF1","RHBDF1","ENSG00000007384",64285
"LUC7L","LUC7L","ENSG00000007392",55692
"CACNA2D2","CACNA2D2","ENSG00000007402",9254
"BAIAP3","BAIAP3","ENSG00000007516",8938
"TSR3","TSR3","ENSG00000007520",115939
"PIGQ","PIGQ","ENSG00000007541",9091
"CRAMP1","CRAMP1","ENSG00000007545",57585
"TEAD3","TEAD3","ENSG00000007866",7005
"SELE","SELE","ENSG00000007908",6401
"DNAJC11","DNAJC11","ENSG00000007923",55735
"FMO3","FMO3","ENSG00000007933",2328
"MYLIP","MYLIP","ENSG00000007944",29116
"NOX1","NOX1","ENSG00000007952",27035
"E2F2","E2F2","ENSG00000007968",1870
"PSMB1","PSMB1","ENSG00000008018",5689
"SYN1","SYN1","ENSG00000008056",6853
"JARID2","JARID2","ENSG00000008083",3720
"CDKL5","CDKL5","ENSG00000008086",6792
"CAMK1G","CAMK1G","ENSG00000008118",57172
"CDK11A","CDK11A","ENSG00000008128",728642
"NADK","NADK","ENSG00000008130",65220
"TFAP2B","TFAP2B","ENSG00000008196",7021
"TFAP2D","TFAP2D","ENSG00000008197",83741
"DLEC1","DLEC1","ENSG00000008226",9940
"CYTH3","CYTH3","ENSG00000008256",9265
"ADAM22","ADAM22","ENSG00000008277",53616
"SYPL1","SYPL1","ENSG00000008282",6856
"CYB561","CYB561","ENSG00000008283",1534
"SPAG9","SPAG9","ENSG00000008294",9043
"CELSR3","CELSR3","ENSG00000008300",1951
"AASS","AASS","ENSG00000008311",10157
"PLEKHG6","PLEKHG6","ENSG00000008323",55200
"SS18L2","SS18L2","ENSG00000008324",51188
"MPND","MPND","ENSG00000008382",84954
"MGST1","MGST1","ENSG00000008394",4257
"CRY1","CRY1","ENSG00000008405",1407
"PGLYRP1","PGLYRP1","ENSG00000008438",8993
"NFIX","NFIX","ENSG00000008441",4784
"ST3GAL1","ST3GAL1","ENSG00000008513",6482
"MMP25","MMP25","ENSG00000008516",64386
"IL32","IL32","ENSG00000008517",9235
"PKD1","PKD1","ENSG00000008710",5310
