Genes,control_1,control_2,Nutlin_1,Nutlin_2
NEMP2,202,218,58,29
ZNF503-AS2,66,74,91,37
MIR181A1HG,5,6,4,3
ANKRD63,27,24,16,14
RAB6C-AS1,69,66,92,64
RDM1P5,16,15,12,9
C11orf91,9,6,28,9
SP9,16,13,16,11
LOC100131395,3,8,6,8
EOLA1-DT,43,38,136,86
DBIL5P,19,14,12,5
LOC100131496,19,15,15,10
CCDC18-AS1,58,65,179,99
DPP4-DT,61,43,44,36
LOC100131626,42,45,67,39
ZNF236-DT,15,19,25,12
MZF1-AS1,174,150,216,136
USP30-AS1,10,8,16,8
ARMCX4,48,58,40,35
PET100,433,394,500,331
AHI1-DT,2,5,5,5
RRN3P3,182,187,208,153
PDE4DIPP6,2,9,14,5
LOC100132062,145,137,243,193
FOXO6,663,547,560,404
LOC100132077,19,31,38,21
HERC2P7,3,5,4,3
FAM66E,3,5,11,10
C2CD4D-AS1,80,97,189,135
ACTA2-AS1,14,5,247,126
CALML3-AS1,1,10,15,25
PHKA2-AS1,80,75,96,52
WASIR2,31,13,50,26
EHBP1-AS1,59,70,41,27
NPIPB5,836,744,802,613
LOC100132249,133,120,118,100
NDUFA6-DT,44,38,41,44
LOC100132287,122,120,212,165
TEKT4P2,62,52,109,70
CLUHP3,130,163,226,155
FRG1HP,30,36,49,41
LOC100132356,95,90,93,57
FAM157B,82,72,115,96
NBPF10,712,776,1075,858
FCGR1CP,3,1,7,8
PGAM1P5,29,31,35,21
XGY2,6,8,92,53
ZRANB2-AS1,84,72,88,52
PAXIP1-AS2,123,116,133,98
CYP4F30P,24,27,36,35
DCAF13P3,66,68,94,60
KDM4A-AS1,98,91,159,94
IPO5P1,241,268,427,284
TNIP2P1,17,13,13,9
PMS2P9,42,39,46,41
DPH3P1,106,88,87,50
FAM66D,17,18,27,17
RASA4DP,45,35,57,33
GUSBP19,5,3,5,3
LINC03009,83,81,92,58
FAM25G,3,4,10,7
LINC01001,157,145,258,202
FAM66A,3,3,5,3
HSDL2-AS1,52,50,65,40
LINC00240,2,0,2,7
GOLGA6L3,20,22,33,17
SBF1P1,27,29,36,15
CBR1-AS1,232,200,200,134
RSU1P2,3,4,6,3
HOXA-AS3,5,3,8,4
XNDC1N,32,40,25,16
MRPL23-AS1,2,2,6,3
LINC01134,5,3,7,2
LY6E-DT,30,19,34,14
CD24,7716,7618,17939,10951
UXT-AS1,165,134,186,112
LINC01816,23,27,31,17
MAP3K14-AS1,37,38,72,52
UBOX5-AS1,9,11,9,8
KDM7A-DT,87,75,132,60
LOC100134368,21,20,31,16
NDUFB2-AS1,431,381,527,303
LOC100134868,103,90,428,244
UBE2Q2P2,70,67,75,61
TEN1,146,142,179,114
UPK3BL1,94,98,153,107
JMJD7,106,90,141,117
PLA2G4B,60,56,90,75
HDAC5,210,172,335,161
CTAGE8,48,44,78,48
LINC00029,8,1,17,9
LINC01056,3,2,6,3
CHKB-DT,17,20,19,14
LINC00930,0,1,19,5
KLLN,52,68,246,156
RNU7-1,17,15,15,12
TMCO1-AS1,21,15,25,21
PDCD6IP,3611,3417,5137,3135
RNU6ATAC,3,11,1,3
SCARNA9L,5,7,1,2
PDCD6,2004,1811,2521,1565
BCL2L10,6,3,15,5
SNAR-B2,51,33,34,5
SNAR-C4,12,11,9,0
SNAR-E,7,3,7,0
SNAR-B1,51,33,34,5
SNAR-C3,17,11,12,0
SRRM5,88,83,159,78
EPOP,552,433,420,229
TRIM59-IFT80,382,402,371,264
BCL2L11,922,892,934,575
TOMM6,3422,3353,2951,1672
HECTD2-AS1,1,8,6,10
DNMBP-AS1,27,25,47,26
TRK-TTT3-1,4,4,5,2
TRV-CAC8-1,5,4,2,1
TRL-AAG2-2,9,5,5,2
TRK-TTT3-3,7,3,3,2
TRV-TAC3-1,4,4,10,1
DCTN1-AS1,9,5,6,7
SH2B3,101,103,136,81
TPT1-AS1,215,182,164,128
LOC100190986,54,54,41,51
C2CD4D,36,25,36,26
PPIAP30,99,105,102,60
FLJ16779,0,0,28,17
CDH4,11,10,17,22
GNE,212,217,229,144
HCN4,36,38,18,16
FAR2P2,22,20,36,29
KMT2E-AS1,58,65,55,35
LINC01004,28,60,37,63
FRAT1,128,138,240,106
LOC100233156,21,30,50,34
TROAP,2134,2012,146,125
MED16,968,918,1005,694
PIGK,522,552,344,206
RPL26L1-AS1,13,12,12,14
CASC11,4,4,4,1
LOC100270746,26,22,59,36
LCDR,25,20,19,13
LIMS3-LOC440895,76,73,72,44
SMG1P3,692,692,631,547
MEF2B,18,10,20,12
ZNRF2P2,8,9,12,7
RASA4B,63,68,92,54
CMC4,202,198,179,109
LOC100272217,58,46,69,50
EOLA2-DT,32,44,111,65
BCDIN3D-AS1,71,75,158,91
PPM1F-AS1,42,53,83,46
VPS13A-AS1,8,8,10,7
ANAPC1P1,210,199,139,102
MCPH1-DT,153,128,130,90
DDX11L10,5,4,10,5
MIF4GD-DT,151,148,86,58
DCAF8-DT,59,53,52,36
LOC100287072,1154,1203,1330,771
TONSL-AS1,149,143,33,25
DDX11L1,3,3,6,5
WASHC1,589,544,670,452
LOC100287175,3,4,4,4
EML2-AS1,29,12,39,27
ZNF729,5,5,4,3
TIPARP-AS1,23,15,32,19
LOC100287290,25,24,42,39
LOC100287329,3,5,7,1
LOC100287467,15,18,30,18
SMKR1,74,69,93,54
SEPTIN7P13,56,47,48,43
ADPGK-AS1,35,30,28,15
LINC00173,146,135,449,207
DDX11L5,4,4,9,4
LOXL1-AS1,109,122,162,98
AP4B1-AS1,406,386,427,276
LINC00630,72,77,84,67
LOC100287808,33,16,36,30
ARHGEF17-AS1,31,32,46,31
LINC00994,24,32,34,33
LIPT2-AS1,122,114,120,66
TTC34,7,4,16,6
LGALS8-AS1,21,16,41,17
TIMM23,2122,2171,1929,1208
LOC100287944,7,9,4,2
LOC100288069,54,41,52,37
LOC100288123,56,37,46,23
NBPF20,418,445,638,486
SLC9A3-AS1,129,108,228,146
LOC100288162,91,75,86,59
LOC100288175,29,30,32,38
LNCOC1,15,17,29,19
HMGN3-AS1,128,171,185,130
WHAMMP4,81,77,58,44
NPIPA5,243,237,296,203
ERVMER34-1,109,99,54,47
LMCD1-AS1,10,8,30,11
DDX11L9,4,4,7,3
WHAMMP1,62,63,42,28
LOC100288637,289,281,61,56
LIMS4,217,215,185,121
PAN3-AS1,59,51,59,49
LINC02894,164,186,180,106
WASH8P,291,289,354,249
SLC38A4-AS1,74,60,181,113
HYDIN2,3,5,5,5
B3GALT9,304,273,341,161
MIA2-AS1,19,14,44,27
CRIM1-DT,10,19,17,8
SLC25A25-AS1,193,194,289,150
ADAMTSL4-AS2,6,6,9,13
ATP2A1-AS1,40,15,10,5
FRG1CP,18,17,24,15
LINC03011,23,38,101,48
FAM95C,69,48,51,52
LINC00624,1,8,12,10
LOC100289230,31,23,20,15
DNAJC3-DT,119,90,165,115
CNTNAP3C,14,13,15,9
MAN1B1-DT,97,62,147,84
LOC100289361,25,24,45,19
UBAC2-AS1,62,54,85,62
KCTD21-AS1,64,58,112,80
MCF2L-AS1,74,40,51,18
LOC100289495,14,9,38,29
LOC100289511,180,153,236,114
LOC100289561,47,49,61,37
HERC2P4,47,55,30,26
LOC100289580,455,381,402,315
ZNF605,195,198,273,212
LOC100289656,27,24,29,17
ZNF783,602,498,817,520
RBM38-AS1,119,105,79,68
ZNF587B,360,332,464,270
LOC100294145,652,645,808,471
RNF213-AS1,54,55,63,63
CDH5,10,2,17,2
MIR1184-1,31,25,30,19
MIR1182,3,4,7,2
MIR1287,6,10,18,12
MIR1914,6,10,8,5
MIR1292,50,59,26,18
MIR1248,10,14,10,7
MIR1307,44,29,91,48
MIR1825,16,16,17,9
MIR1204,10,9,46,17
MIR1306,22,18,24,12
MIR1909,11,9,7,4
MIR1181,179,163,194,118
MIR2110,5,11,15,14
MIR1281,15,9,9,8
MIR1304,11,12,16,13
MIR1282,724,676,1057,589
MIR1469,4,3,4,5
MIR1244-1,605,490,290,215
RASAL2-AS1,17,15,14,10
BABAM2-AS1,31,37,34,19
GPR75-ASB3,150,162,189,135
FTX,213,203,308,164
TMED7-TICAM2,488,406,619,378
PCNA-AS1,835,789,552,307
FAS-AS1,0,2,8,7
TSNAX-DISC1,109,112,202,116
SLC25A5-AS1,1180,1227,1151,579
PET117,290,300,294,191
PITPNA-AS1,95,76,81,60
LOC100310756,106,92,103,49
