Genes,control_1,control_2,Nutlin_1,Nutlin_2
LOC107986363,26,14,46,12
LOC107986367,7,5,11,8
LOC107986372,24,18,34,26
LOC107986373,24,18,34,26
LOC107986383,246,285,155,105
LINC02163,17,10,24,14
LOC107986396,8,2,39,14
LOC107986401,3,6,4,0
LINC02100,5,5,9,7
TARS1-DT,31,29,37,22
LOC107986421,4,4,3,3
LOC107986424,3,2,4,4
LOC107986428,4,2,2,5
LOC107986432,2,10,4,6
LOC107986437,3,5,9,7
PPIC-AS1,13,20,28,8
LOC107986449,12,6,24,13
LOC107986451,9,4,14,11
LOC107986452,15,11,2,5
LOC107986454,1,1,10,8
LOC107986465,87,68,76,55
LOC107986473,7,4,13,8
LOC107986476,1,0,14,12
LOC107986477,2,3,4,7
LOC107986485,14,20,44,26
LOC107986486,157,146,112,63
LOC107986488,26,27,36,33
LOC107986495,3,4,4,3
TRIM7-AS1,15,15,7,5
LOC107986524,2,0,9,2
LOC107986528,155,156,354,300
LOC107986529,97,99,89,78
LOC107986531,69,63,63,41
LOC107986547,6,3,13,9
LOC107986556,7,9,4,3
LOC107986558,2,0,18,10
LOC107986571,29,27,20,18
LOC107986578,11,12,14,6
LOC107986583,153,138,188,127
ABCF1-DT,10,9,8,3
EHMT2-AS1,274,272,211,148
ZFAND3-DT,8,11,10,7
LOC107986596,22,16,47,31
LOC107986597,4,5,6,4
LOC107986599,167,154,333,198
LOC107986606,117,91,114,78
LOC107986617,25,14,62,32
LOC107986622,11,7,1,2
LOC107986631,4,4,8,7
LOC107986639,9,8,100,39
LOC107986644,7,4,5,3
LOC107986649,5,1,9,4
HIVEP2-DT,4,6,16,3
LOC107986660,11,5,4,1
LOC107986694,112,124,147,86
LOC107986696,114,127,154,86
PRR15-DT,14,14,15,8
LOC107986710,46,46,69,50
LOC107986717,6,6,10,5
LOC107986760,7,14,19,14
LOC107986762,53,44,33,24
LOC107986768,5,5,31,20
LOC107986769,1,7,16,8
LOC107986774,10,11,12,3
LOC107986785,9,4,12,6
LOC107986794,5,4,6,3
LOC107986798,5,5,4,3
LOC107986800,19,17,35,20
LINC02848,2,2,9,6
CZ1P-ASNS,1325,986,1375,579
LOC107986828,11,8,25,17
LOC107986830,7,1,2,9
LOC107986838,17,19,30,20
LOC107986845,31,32,35,15
LOC107986847,4,2,7,2
LOC107986852,65,48,52,33
LOC107986856,8,3,2,2
LOC107986858,4,5,6,4
LOC107986859,1,2,8,6
LOC107986862,28,28,12,13
LOC107986871,113,127,149,95
LOC107986876,87,67,108,62
LOC107986903,22,30,38,21
LOC107986910,4,3,5,2
LOC107986924,46,19,42,22
LOC107986925,166,121,399,246
LOC107986926,5,3,4,4
LOC107986934,33,24,39,21
LOC107986935,3,1,9,2
LOC107986948,13,14,13,10
LOC107986951,33,22,44,39
LOC107986959,0,0,18,10
LOC107986961,40,54,99,54
GRHL2-DT,797,804,1364,864
LINC02990,3,3,7,5
LOC107986985,159,144,154,84
LOC107986991,77,59,82,41
LOC107986997,9,9,13,12
LOC107986998,6,7,8,7
LOC107987042,8,7,8,4
LOC107987046,56,48,51,32
LOC107987063,9,7,14,4
LOC107987072,86,68,84,51
LOC107987095,56,51,59,41
LOC107987097,8,12,11,3
LOC107987100,7,7,5,3
LOC107987102,40,33,21,18
LOC107987113,74,66,73,45
LOC107987116,4,3,13,9
LOC107987118,13,15,26,11
LOC107987126,10,10,12,7
LOC107987129,4,4,15,8
LOC107987135,2069,2086,2265,1722
CAMSAP1-DT,72,88,131,79
LOC107987147,31,42,44,36
LOC107987150,9,6,8,6
LOC107987152,11,6,8,3
LOC107987158,16,26,8,9
LOC107987160,20,25,77,52
LOC107987172,22,16,3,1
LOC107987181,21,17,35,27
LOC107987183,3,11,7,2
LOC107987206,189,143,689,265
LOC107987209,419,369,167,112
LOC107987222,21,20,16,9
LOC107987228,64,72,62,35
LOC107987234,3,4,3,2
LOC107987237,13,9,10,5
LOC107987238,7,9,11,11
LOC107987244,27,32,103,83
LOC107987245,49,54,53,47
LOC107987250,81,63,101,62
LOC107987251,30,40,88,69
LOC107987254,4,4,6,8
LOC107987261,2,6,1,3
LOC107987264,75,77,73,64
LOC107987266,76,75,72,41
LOC107987269,84,89,177,107
LOC107987272,17,16,35,24
LOC107987276,19,22,42,29
LOC107987280,21,18,34,19
LOC107987285,7,7,13,5
LOC107987289,1,3,7,5
LOC107987293,139,145,120,115
LOC107987294,147,153,129,124
LINC02246,64,52,95,71
LOC107987299,55,66,94,67
LOC107987304,12,13,3,4
LOC107987323,2,2,6,3
FAM239C,35,32,99,51
LOC107987343,9,9,20,10
LOC107987365,7,9,17,12
LOC107987366,3,4,11,8
LOC107987372,7,10,8,7
LOC107987373,323,282,353,229
LOC107987392,18,14,19,14
LOC107987393,25,21,22,20
LOC107987398,53,56,93,70
LOC107987399,14,9,16,12
LOC107987401,3,5,32,22
RPP40,541,509,445,242
SEPTIN9,11640,8212,31082,15452
SEC24A,2557,2395,3070,2096
SDCCAG8,133,104,177,88
ENTR1,1878,1471,1563,1017
HSPH1,6897,7049,5524,3750
STARD10,19790,16658,27836,16719
CGA,5,7,24,6
WASF3,472,374,456,314
NOXA1,350,250,667,452
UTP14A,1194,997,1210,716
CPLX2,24,8,8,11
CPLX1,201,129,287,122
FRS3,64,47,71,41
FRS2,1633,1649,2476,1729
OR7E14P,80,75,149,93
NEU3,711,702,1135,705
FAXDC2,593,548,1462,682
FAM114A2,352,397,542,367
ZNF275,549,425,734,371
CEACAM3,2,0,8,3
ALDH1L1,2,3,21,13
TUBGCP2,2579,2411,2581,1804
CLPX,1867,1746,2215,1232
PDE10A,9,4,7,6
SRCAP,5968,5502,5796,4363
PPP1R13L,944,944,1636,1117
POLR1G,845,700,536,288
HPSE,65,51,40,20
RUVBL2,2788,2483,2116,1340
PGRMC1,3409,3073,2651,1553
LINP1,3,5,2,4
CYP46A1,7,8,7,6
SLC26A1,115,136,218,166
ARID5A,93,85,28,23
HCP5,4,6,13,7
TSPAN9,627,588,973,573
USP20,725,726,1164,762
USP19,1535,1416,1981,1255
CEACAM7,12,8,45,8
HCST,1,3,2,5
ME3,0,7,5,5
NMU,95,71,4,2
HFE-AS1,8,10,12,5
DINOL,4,1,39,18
HSD17B1-AS1,168,164,309,225
C1QL1,31,36,24,10
MRPS30,2010,1709,2118,1267
WDR3,2312,1961,1831,1072
GSC-DT,12,5,14,8
RAB10,5946,5605,9044,5008
ZNF8-ERVK3-1,771,750,939,543
MALT1,511,598,503,340
MMP24,10,19,18,9
ACBD7-DCLRE1CP1,39,42,95,48
YIF1A,1385,1170,1739,997
CPSF4,940,884,929,515
JTB,4323,3874,4238,2566
ADCY3,2125,1778,921,545
RUNDC3A,33,24,48,38
DHRS4,765,731,1250,796
BRD8,1549,1578,1248,799
MTMR11,319,372,533,355
BLCAP,1012,1032,2164,1391
MAN1A2,2911,2818,4669,2916
TRAFD1,1435,1440,3140,1955
TXNL4A,1715,1663,1518,922
PNPLA6,1048,1019,1462,1072
SUGT1,952,954,1042,591
GADD45G,209,173,873,337
TALAM1,1794,1845,5207,3318
PAPOLA,7974,7600,8221,5215
TCERG1,3252,3345,2515,1653
MAGED2,1806,1894,4586,3130
EHMT2,2692,2539,1997,1393
COPS8,938,863,876,598
RNPS1,7453,6719,5792,3694
FASTK,2035,1881,2493,1635
SUB1,2617,2370,2817,1632
SMPDL3A,343,345,356,256
DBF4,1323,1250,472,234
SPIN1,3504,3988,4765,3321
RALBP1,2590,2570,2920,1795
ARHGAP27P1-BPTFP1-KPNA2P3,2292,2379,1323,899
SRSF8,1003,909,1539,847
MORF4L1,6380,6592,7540,4644
PRDX3,4563,4550,4481,3058
GPR75,34,33,41,31
EHD1,1366,1394,1868,1360
AFG3L2,3496,3131,2973,1748
POP1,828,881,764,554
MSL3,573,553,657,471
C11orf58,3910,3731,4011,2313
KDELR1,1206,1015,1575,968
SF3A3,3146,3218,3498,1993
AP3M2,504,561,625,388
STARD3,597,542,683,396
HNRNPA0,7311,6520,8470,4933
ERV3-1-ZNF117,135,162,280,200
CBX1,5110,5184,3673,2392
SEC61B,2245,2298,3360,1978
TOMM34,952,800,990,585
PDIA5,485,409,718,409
SERINC3,3351,3224,5586,3160
OS9,6292,5769,9966,5591
PNRC1,532,483,2737,1830
TMED2,11296,10543,10843,6806
LMAN2,5595,5035,5621,3424
ERP29,4944,4487,4874,2876
SNORA10B,35,26,25,19
SNORA9B,4,4,5,0
SNORD19C,4,7,5,3
SNORD70B,15,10,3,2
SNORA11F,15,26,18,13
SNORA21B,4,5,3,4
SNORA63B,37,28,28,24
SNORA77B,9,11,4,3
SNORD63B,7,5,8,5
SNORA58B,19,11,17,8
MLLT11,254,296,260,168
SNORD159,7,8,6,6
SNORD167,6,3,5,3
SNORA119,7,3,11,6
SNORD175,2,0,6,4
STIP1,9054,8701,6875,4488
ACOT2,544,460,690,415
RAB40B,163,173,561,325
EBNA1BP2,2959,2779,2579,1653
CKAP4,2239,1977,2400,1625
HTD2,291,282,353,206
YWHAQ,12175,12431,9655,6477
TMED10,9397,8982,13473,8910
KRT7-AS,70,57,168,91
TDRKH-AS1,71,60,214,143
POC1B-AS1,29,38,50,37
TFAP2A-AS2,125,136,144,92
MIR4713HG,8,6,19,11
SNHG26,24,30,11,11
ZNF710-AS1,86,72,141,71
DM1-AS,83,60,134,93
SLC12A5-AS1,108,90,113,70
ASCC3,5018,4915,10689,6480
ADIRF,1202,1157,3227,1938
UQCR11,760,731,1294,867
CLP1,249,241,329,199
FERMT2,1708,1913,1582,1145
COPS6,2514,2475,2978,1887
RAB32,219,223,268,240
MAPRE2,85,91,182,112
CCNI,6158,6175,8911,5248
KCNQ1OT1,101,156,109,177
GCN1,11329,9701,10856,7773
MIR302CHG,64,82,111,68
RNA45SN4,7317,5960,14107,24915
RNA28SN4,5865,4550,10830,16295
RNA18SN4,1171,1201,2974,7754
RNA5-8SN4,21,23,83,457
RNA45SN2,7248,5873,14047,24779
RNA18SN2,1159,1199,2966,7776
RNA5-8SN2,22,24,83,451
RNA28SN2,5821,4487,10803,16172
COPS5,1273,1352,1553,833
METAP2,4346,4177,4062,2436
IMMT,5180,4678,5691,3494
SLC38A3,154,158,74,31
RNA45SN3,6817,5600,13319,23751
RNA18SN3,1172,1201,2945,7821
RNA5-8SN3,23,22,83,458
RNA28SN3,5387,4217,10090,15084
SF3B2,8246,7893,7362,4698
ILVBL,2177,2035,2017,1311
PKD1P3-NPIPA1,1448,1249,1416,992
SLC27A5,241,229,254,138
SLC27A4,2090,1884,3450,1814
SLC27A3,1185,1078,945,691
PKD1P5-LOC105376752,1397,1207,1391,990
PKD1P4-NPIPA8,1148,966,1083,735
PPIP5K1P1-CATSPER2,273,281,553,364
SLC27A2,344,356,273,186
KIF2C,3253,3236,168,179
SPINK5,59,54,102,71
CCDC85B,1155,926,694,358
IL24,8,6,10,8
CFAP298-TCP10L,347,348,431,254
LOC110091776,14,17,9,9
LOC110091777,21,20,31,15
CHAD,7,10,10,10
GLIPR1,401,408,402,248
TLK2,3200,3332,3588,2286
ZNF765-ZNF761,484,521,558,390
P3R3URF-PIK3R3,1187,1315,5313,3789
KLK11,5,8,11,14
TMSB15A,15,21,7,3
KDELR2,7091,6397,7359,4466
KDELR3,532,450,489,274
ATF7,752,723,1093,681
SNRNP27,778,830,765,521
TMED1,679,624,618,405
LIAS,373,327,318,162
RCBTB2,71,56,78,56
IFT27,277,260,456,263
RAB35,2820,2509,2971,1604
TDRKH,939,1035,2440,1538
LILRB3,1,3,3,7
RBPMS,1678,1697,2028,1717
RAB31,1586,1861,3589,2775
ADAP1,542,537,756,467
DSTN,10549,11025,15103,9396
ZNF660-ZNF197,83,78,154,93
STON1,45,95,81,112
GUSBP14,95,102,133,95
RCC1,3899,3453,2728,1783
PIM2,300,325,455,323
B4GAT1,291,306,265,201
GUSBP15,93,91,130,83
MID2,928,896,1665,1010
TENT4A,908,938,609,431
UPK1A,8,9,8,11
SLC35D2,402,357,889,487
ADRM1,6168,5477,4815,2821
CHD1,2496,2358,1836,1253
NUDT21,5762,5652,3837,2479
CPSF6,2740,2613,2431,1711
OGFR,2207,2033,2311,1331
DDX52,616,598,749,465
ABHD2,2288,1952,3984,1757
WWP1,2679,2549,4814,2798
EEF1AKMT4,369,310,339,198
EEF1AKMT4-ECE2,140,137,137,76
ASDURF,266,249,253,124
CHD2,2601,2710,3560,2313
WWP2,2451,2297,3276,1999
DUS4L,193,206,161,121
CNTRL,475,478,115,62
UBE2C,3157,3086,162,158
SNRNP35,585,539,856,468
DEPP1,3,4,23,8
CYB561D2,282,254,382,228
RAPGEF4,15,15,6,7
CHD3,6190,5773,7030,4527
TMEM115,497,451,649,429
DUSP14,460,451,694,429
TOPBP1,3099,3118,1280,889
TRIM31,18,14,29,17
TPPP,47,38,51,31
HSF2BP,10,10,18,8
TRIOBP,915,913,1362,838
RER1,1849,1712,2043,1210
CHD4,12857,12472,11372,8082
DNAJB4,139,122,144,90
SLC5A4-AS1,34,45,44,42
C17orf113,25,21,53,18
LINC02560,0,1,11,6
DIDO1,3829,3552,4050,2787
CAMTA1-DT,14,17,3,2
LAMC1-AS1,3,6,3,5
AKR1C4,5,7,9,5
WDR5,4264,4003,3083,1924
SPACA9,71,51,166,92
ADAMTS13,58,59,225,143
CACFD1,525,534,898,514
NUP42,277,270,241,115
PRSS23,2202,1943,3815,2769
PTPN21,447,469,843,602
ADCY5,1743,817,3206,1287
HNRNPUL1,9413,9057,7693,4829
ATE1,932,949,991,619
RPP14,386,381,453,271
KRR1,1678,1677,1714,1013
KATNA1,520,525,379,225
TPM1-AS,162,184,180,154
PRDM5,59,60,66,43
PRDM4,1980,2020,2652,1721
CXXC5-AS1,16,21,20,13
LINC02569,3,6,13,11
MMP24-AS1-EDEM2,160,155,312,207
CHEK1,1085,1035,396,257
HIBADH,1313,1234,1622,1009
CIT,1930,1695,166,121
CEP43,628,625,537,377
EMILIN1,43,33,41,30
BTN3A2,18,17,56,30
LYNX1-SLURP2,1,2,10,2
BTN3A1,33,25,58,39
FOXN3,817,894,834,540
BTN2A1,299,314,421,319
RCAN3,407,401,585,349
FAF1,1977,1914,1872,1031
CRYZL2P-SEC16B,8,6,14,12
KIF3A,825,857,915,635
POLR3A,1331,1199,1356,922
CLASRP,956,908,855,499
CHGA,25,14,10,21
ZWINT,2348,2583,269,244
CAPN10,283,292,347,229
KPTN,243,206,192,152
CDC42EP1,1334,944,816,480
PWP1,2347,2178,2150,1208
TBC1D8,579,552,779,369
CHGB,6,3,13,4
CDC37,5253,4414,5783,3536
PKIG,194,171,269,181
KAT7,1568,1550,1576,988
DMC1,142,151,9,11
PLAAT3,184,193,423,228
GLMN,274,277,254,192
HHLA3,160,137,212,124
CORO1A,418,416,392,255
WDR45,405,354,814,475
FICD,167,191,225,156
AP4S1,206,217,243,134
LDB3,15,8,72,72
PTP4A3,162,107,160,97
LSM6,416,426,271,153
RABL2B,267,243,474,307
RABL2A,187,203,387,251
ERLIN2,1447,1295,1985,1235
ERG28,1301,1304,2441,1545
NUDT6,39,59,53,36
NUDT4,1313,1179,1541,927
NUDT5,2164,2163,2453,1481
NUDT3,2306,2207,2436,1726
FSTL1,5,6,12,17
PSIP1,1780,1796,978,609
WDHD1,1803,1952,320,275
STRAP,4159,4019,4032,2564
ADAMTS7,31,29,1084,479
ADAMTS6,8,10,24,19
BAZ2A,4645,4378,5730,3978
BAZ1A,2907,2959,3017,1959
ZNF277,228,212,556,326
WDR6,4491,4335,7553,4679
TREH,53,50,88,68
SLC2A6,391,384,860,612
ATRIP-TREX1,229,263,185,141
MAP4K5,1353,1379,1542,1130
MAP4K1,27,27,21,20
RASSF1,427,410,241,207
PKP3,3271,2780,3148,2061
NISCH,1097,973,1432,889
CELF3,412,416,531,336
CHKA,647,684,706,534
CEP250,1171,1179,1654,1178
PTENP1,449,411,605,364
WBP4,547,538,560,322
ABCB8,1085,985,954,637
SEC23IP,2782,2720,3151,1989
SUPT16H,9597,9326,7147,4593
ADCY6,1934,2026,2833,1903
CHKB,177,175,283,175
CHEK2,800,736,581,301
POLI,365,310,614,371
KLK8,6,15,49,36
MST1P2,19,18,69,36
CHM,247,231,326,185
PLPBP,1128,1100,1203,716
AKAP13,1687,1592,2459,1863
AKAP11,3132,3007,3329,2254
AKAP10,516,521,759,511
DDX20,1107,979,832,564
TREX2,8,12,12,4
CHML,1491,1268,1729,1195
DUSP10,43,36,164,104
MRPL3,3989,3422,3291,1874
MST1L,14,11,34,16
RPL35,11298,9718,12126,7129
GALNT6,4026,3662,4355,2620
LOC112267861,23,20,39,30
LOC112267866,3,10,3,4
LOC112267868,4,6,11,6
LOC112267871,3,5,3,4
LOC112267872,16,15,38,26
LINC02814,5,7,4,5
LOC112267876,57,56,58,39
PPP1CB-DT,46,38,21,22
LOC112267891,4,7,3,3
LOC112267902,20,27,26,27
LOC112267909,5,5,5,2
LOC112267916,15,15,266,145
LOC112267932,66,50,88,47
LOC112267934,157,154,362,212
LOC112267936,13,17,16,11
LOC112267938,12,18,15,9
LOC112267941,46,59,87,61
LOC112267942,16,16,32,17
LOC112267943,8,2,2,3
KLC4-AS1,18,17,43,25
LOC112267965,21,15,27,24
LOC112267966,0,6,4,7
CDK13-DT,15,21,19,11
LOC112267985,4,4,5,2
LOC112267986,4,7,12,2
LOC112267987,4,3,6,2
LOC112267988,13,18,10,9
LOC112267992,15,12,28,15
LOC112268006,19,19,24,19
LOC112268021,19,18,29,22
LOC112268022,2,6,19,21
LOC112268024,172,243,270,334
LOC112268030,13,8,13,7
LOC112268035,8,6,3,3
LOC112268037,199,140,413,261
LOC112268038,10,9,6,7
DOCK8-AS2,17,14,33,24
LOC112268047,51,37,793,407
LOC112268048,128,97,93,57
LOC112268050,17,7,11,16
LOC112268052,611,527,659,374
LOC112268055,78,78,105,64
LOC112268056,37,31,60,44
LOC112268058,23,24,35,21
LOC112268063,30,40,39,20
LOC112268064,5,3,7,4
LOC112268070,21,20,29,25
LOC112268079,2,7,1,2
LOC112268085,7,3,6,7
LOC112268086,2,2,9,4
LOC112268088,18,16,30,16
GAPDH-DT,734,710,204,144
LOC112268090,7,6,5,9
LOC112268092,11,11,8,12
MYG1-AS1,347,361,548,387
CNPY2-AS1,104,104,152,91
LOC112268102,25,23,27,19
LOC112268104,1,3,5,3
SBNO1-AS1,34,28,74,32
LOC112268109,156,158,133,99
LOC112268116,15,12,37,22
LOC112268118,10,11,10,7
LOC112268123,28,34,42,26
BAZ1A-AS1,148,109,135,81
LOC112268130,9,3,4,11
LOC112268131,156,136,57,58
LOC112268134,26,25,19,11
LOC112268140,212,177,174,91
LOC112268142,6,5,14,5
LOC112268143,10,14,17,9
LOC112268144,36,40,40,18
LOC112268145,8,5,5,6
LOC112268146,9,15,33,27
LOC112268147,52,53,53,33
LOC112268148,70,68,81,55
LOC112268150,4,6,7,6
LOC112268155,1103,975,1931,861
LOC112268163,45,51,28,32
LOC112268166,36,26,52,41
LOC112268169,10,16,14,13
LOC112268170,2572,2325,1951,1295
LOC112268171,3,2,8,6
LOC112268172,9,11,11,7
LOC112268174,12,14,14,12
LOC112268177,18,14,11,8
LOC112268179,33,37,34,25
KPNB1-DT,721,714,748,514
LOC112268186,29,23,20,12
LOC112268189,30,31,16,14
LOC112268190,29,22,38,22
LOC112268195,10,19,11,9
LOC112268196,98,105,156,110
LOC112268199,1,4,3,4
LOC112268201,53,43,70,38
LOC112268202,14,16,29,15
HEXIM2-AS1,2,5,4,3
LOC112268213,8,5,8,8
LOC112268218,42,43,50,41
LOC112268219,65,50,86,31
CDC42-AS1,5,9,8,5
LOC112268225,9,9,11,8
LOC112268235,27,38,47,61
LOC112268236,5,7,9,9
LOC112268239,7,10,21,19
ZSCAN5A-AS1,13,6,12,10
LOC112268244,21,13,13,11
LOC112268246,246,237,339,231
LOC112268251,21,21,28,14
LOC112268252,8,4,22,6
LOC112268253,4,4,7,10
LOC112268254,34,36,57,37
LOC112268256,15,14,17,6
LOC112268259,63,55,81,42
LOC112268260,64,70,147,97
LOC112268261,4,10,16,7
LOC112268262,4,8,3,1
LOC112268266,143,121,733,523
LOC112268267,14,6,43,15
LOC112268269,128,112,226,112
LOC112268270,639,575,513,395
LOC112268272,13,20,18,19
LOC112268274,5,6,4,1
LOC112268278,19,9,17,14
LOC112268289,5,7,10,11
LOC112268292,6,2,3,1
LOC112268295,5,3,8,2
LOC112268297,3,3,4,3
LOC112268301,48,32,96,46
LOC112268313,207,147,213,563
LOC112268317,203,195,177,119
LOC112268318,2,2,9,4
LOC112268412,3,5,4,5
LOC112268415,125,104,193,129
LOC112268418,2,1,6,10
LOC112268419,53,56,82,53
LOC112268421,4,2,3,6
LOC112268422,8,8,3,5
LOC112268423,3,6,10,9
LOC112268426,4,1,13,2
LOC112268430,12,6,12,16
LOC112268432,12,24,11,10
LOC112268434,5,4,62,24
LOC112268437,149,157,260,158
LOC112268438,4,6,13,5
LOC112268439,3,4,3,3
LOC112268444,34,31,25,13
LOC112268450,18,16,20,14
LOC112268458,191,159,204,142
LOC112268460,310,270,17,21
LOC112268469,102,113,185,125
RASSF8,536,703,390,344
CHN1,860,919,554,401
PRAF2,331,318,558,349
SEC63,3466,3428,3828,2375
POLG2,287,299,337,238
HPS5,918,964,930,583
PDCD10,1506,1314,1487,895
RNF139,2911,2729,4404,2609
RNF24,435,500,568,366
CA5B,87,87,284,134
EGLN2,789,649,832,463
EGLN3,272,224,589,249
CHN2,9,8,20,10
PADI2,552,343,688,315
PMF1,497,536,445,304
ZHX1,3572,3367,3548,2289
SHLD3,85,91,94,61
GPR176,63,65,37,28
NXPH4,370,251,81,46
PRRT2,223,210,157,151
ERI2,739,708,908,503
NXPH3,47,68,23,37
SAT2,174,174,428,259
DTD2,652,625,706,470
GTF3C6,1358,1263,1987,1099
PTGDR2,70,54,48,37
PACSIN2,1532,1464,2012,1167
MAN1B1,2005,1865,2201,1431
SLC6A14,2055,2309,5198,3737
MAPK6-DT,29,21,22,12
LOC112543491,1,4,5,4
HRH3,31,30,7,5
TP53TG1,163,175,873,509
SNX18,739,688,869,488
MUC5B-AS1,5,3,17,14
DCTN3,886,843,862,527
FILIP1L,10,11,50,53
CYTOR,167,130,164,85
XPOT,13209,11719,10693,5850
CHP1,2582,2424,4615,2742
RWDD2A,183,228,489,357
CMTM7,12,13,13,4
SP140,22,27,35,25
SREBF2-AS1,106,109,135,101
PXMP4,886,779,1924,824
DUSP12,520,480,533,342
SNF8,1884,1669,2421,1509
DDX19B,1539,1451,1958,1149
LOC112694756,19521,17020,23065,13646
NRM,550,558,78,71
PRR4,4,3,5,1
RDH13,971,774,1230,798
ATXN2L,5179,4605,5018,3181
USP18,277,244,199,109
KLHL2,318,290,331,265
IFT43,415,369,805,422
STX1B,23,25,96,52
SYNRG,679,714,1136,753
TREX1,11,10,27,16
GLMP,163,181,553,316
KLF12,123,207,64,92
KLF8,68,90,106,81
CHRM1,85,37,85,27
POU6F2,27,27,49,22
FDX2,403,373,448,264
HOGA1,10,10,26,19
MGAT4B,3220,2821,3343,2002
CYP4F8,11,14,401,180
PNKP,947,903,859,584
WDR89,663,638,799,499
L3HYPDH,330,272,267,171
B4GALT7,442,371,501,327
TP53RK,627,541,774,427
SGF29,452,341,375,211
PHF21B,5,7,9,4
SCAT2,23,15,5,0
VPS26B,1292,1104,1468,854
NACC1,7427,6087,5487,3568
CFAP36,653,692,1012,720
MED8,818,777,1040,577
KTI12,198,159,200,126
ADCY7,302,202,203,126
LYST,413,459,517,359
RPUSD1,2009,1843,1333,855
PLCD3,1585,1417,3385,2182
CHRM3,2,7,7,11
VPS45,1241,1320,1697,1086
MTFR2,293,286,36,23
LYPLA2,903,850,1591,1044
CDCA5,3111,2867,197,165
AHNAK2,131,151,918,615
PARK7,4303,4157,4547,2861
RPLP0P2,168,121,223,134
COPE,3141,2903,4274,2789
SAAL1,586,569,330,214
IZUMO4,8,11,27,21
SCAMP4,948,783,874,501
ADAT3,147,143,150,91
CHST14,485,420,410,253
ECD,1345,1353,1713,1024
CHRM4,26,15,31,9
MGAT4A,1764,1787,3177,1529
GOLM2,2459,2286,3050,1844
GPN1,1465,1410,1784,1133
TIMM23B-AGAP6,279,243,250,168
MIR9718,7,8,6,5
MIR9898,2889,2810,4409,3108
MIR10392,13,15,15,23
MIR10394,1429,1160,1708,1084
MIR10393,362,322,535,321
MIR10397,47,48,76,50
MIR10399,24,23,32,20
MIR10527,66,71,113,57
MIR12119,38,38,38,21
MIR12136,1505,1606,501,1634
MIR12127,45,51,53,28
TMC6,1025,894,1373,923
KIF12,2206,1334,3406,1938
MISP3,493,452,532,304
SLC46A1,254,228,263,201
C12orf57,1531,1365,2069,1324
DDX42,6759,6053,7075,4330
LARP4,3908,3533,3992,2561
GLCCI1,317,316,530,348
SLC52A3,107,106,136,109
FKBP9,2137,1995,2405,1583
STK38,1452,1560,2480,1749
PHB2,6932,5971,5949,3746
ACOT7,1423,1224,1418,780
PDAP1,4022,3878,3941,2424
TUSC2,601,598,969,584
CBX3,7090,7115,4397,2906
EXOC3,1330,1151,1921,1163
GABARAP,1400,1477,2810,1641
U2AF2,7764,7138,6162,3888
OIP5,452,451,82,59
EXOSC8,1241,1175,512,320
SFT2D1,512,485,693,385
TEX261,3520,3399,3640,2351
RNF13,940,859,1345,734
MGLL,721,630,1128,634
TWF2,469,519,554,395
SMIM12,576,577,644,341
GABARAPL2,2166,2333,4097,2333
AZIN2,10,8,10,8
TMEM54,1102,1207,849,673
DERPC,1360,1225,1542,965
TUBA3D,9,10,4,2
SYNPO,77,58,280,198
HELQ,212,267,348,194
CMTM1,4,8,3,4
CHRNA3,50,64,83,41
CYP2U1,80,85,94,68
ADPRHL1,364,354,659,415
MFSD3,830,657,1701,1083
SDSL,364,334,786,416
ZBED10P,103,81,126,78
PIK3IP1,50,43,735,425
CHRNA5,814,790,333,218
HENMT1,1392,1519,1392,924
FAM83F,7,2,31,7
SLC35A4,3186,3085,3760,2273
ZNF257,156,122,30,25
DTX2,195,166,429,265
CHRNA7,15,20,18,20
BMS1P2-AGAP9,83,81,86,73
BMS1P4-AGAP5,121,124,154,105
CHRNB1,25,21,48,35
PARGP1-AGAP4,149,131,140,107
CA5BP1-CA5B,163,160,379,179
TOE1,433,389,368,264
B3GALT5-AS1,6,9,11,24
MCM3AP-AS1,277,311,316,227
BUD23,3066,2900,2446,1519
TRIM9,3,9,4,1
CHRNB2,1921,1916,2441,1630
ATF7-NPFF,181,140,208,126
TXNRD3,172,187,305,210
ARHGAP11A-SCG5,790,701,134,88
SLC2A13,29,34,33,17
LACTB,436,465,694,486
CHRNB4,18,11,41,20
EFHC1,350,361,516,350
ABCF2-H2BK1,1408,1318,1376,841
CHRNE,36,26,51,31
MAL2,11019,10115,9767,5583
SNORD15B,7,10,4,7
CHRNG,4,9,3,4
TIRAP,178,170,188,123
ERMAP,199,225,341,227
LRRC37B,109,107,111,66
CHUK,1341,1266,1020,670
CYGB,3,5,115,46
PGLYRP2,22,28,80,87
PKD1L2,27,36,86,56
BTBD9,345,344,771,542
LMTK3,193,148,328,168
MBD6,1751,1501,2589,1467
GPRIN1,859,766,273,234
CSMD3,8,6,3,6
SLC25A25,1788,1733,2452,1721
STK11IP,1067,935,1189,848
TUBGCP5,690,628,536,284
KLHL32,108,117,23,16
FMNL2,369,398,325,292
ELFN2,75,44,50,24
TMEM132B,3,2,13,10
PSMG3-AS1,345,395,1118,770
ESCO1,508,529,745,487
MYSM1,935,972,910,639
RNF157,146,172,51,43
GNRHR2,241,226,268,149
KLHL29,37,26,41,23
CROCCP3,39,33,62,48
ZBED9,101,106,177,136
RHPN1,3302,2852,4643,2886
LENG8,3232,2723,4966,2670
