Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
A1BG,7,4,3,6,3,0,0,1
A1BG-AS1,104,109,104,83,48,69,66,40
A2M,1,0,14,0,1,5,1,4
A2M-AS1,16,16,13,41,23,10,11,28
A2ML1,4,4,5,8,6,6,1,1
A2MP1,13,4,36,5,0,0,0,0
A4GALT,2401,2270,2729,1599,1091,875,775,802
AAAS,3795,3115,1946,2110,3720,3275,2143,2199
AACS,3378,2918,2616,2576,1369,1401,997,1083
AADAT,331,274,202,332,504,484,405,446
AAGAB,2800,2605,2367,2962,995,801,746,807
AAK1,153,189,317,212,91,213,160,162
AAMDC,230,198,135,166,141,104,66,77
AAMP,10534,8674,8137,7671,10366,9187,8347,8897
AANAT,7,7,3,5,14,5,11,6
AAR2,2744,2222,2358,2108,2053,2063,1907,1959
AARD,19,13,4,8,7,13,8,8
AARS1,17037,14444,12347,10099,10686,11182,9975,10824
AARS2,1411,1522,1046,954,1375,1497,1247,1326
AARSD1,31,37,15,24,17,23,10,14
AASDH,705,645,361,534,373,296,189,221
AASDHPPT,950,892,746,1054,1028,929,916,1062
AASS,10,9,1,6,1,2,5,1
AATBC,35,56,62,13,33,24,59,97
AATK,585,551,270,605,323,380,221,336
ABAT,3089,2979,7415,8600,5682,6867,7962,7407
ABCA11P,12,25,4,9,10,27,17,15
ABCA12,795,1079,496,1293,144,235,143,151
ABCA17P,170,211,126,191,50,120,91,126
ABCA2,8419,8635,8349,5839,5224,6229,5109,5891
ABCA3,11368,10917,7670,5592,4325,5025,3448,3837
ABCA4,351,337,61,12,93,52,42,20
ABCA5,234,305,246,233,238,174,169,168
ABCA7,620,610,640,531,208,250,273,274
ABCB10,1090,1168,645,667,734,704,578,692
ABCB4,110,55,4,65,102,101,56,63
ABCB6,136,136,321,81,66,91,101,126
ABCB7,722,733,770,823,860,796,690,777
ABCB8,2083,2323,1474,1915,1624,1518,1274,1253
ABCB9,1476,1248,909,834,822,783,609,667
ABCC1,3442,3582,6579,2892,1195,1353,1395,1605
ABCC10,1534,1469,2366,1972,950,1101,1096,1143
ABCC11,221,204,17,37,118,189,38,82
ABCC12,10,2,0,8,6,6,0,0
ABCC2,37,36,273,44,40,66,64,45
ABCC3,2456,2609,3057,1061,2044,2107,2728,2594
ABCC4,141,181,369,343,223,203,409,435
ABCC5,11556,9839,24282,12726,6462,7111,8748,9611
ABCC6,20,19,13,10,21,38,9,26
ABCC6P1,5,2,0,5,15,7,8,7
ABCC6P2,10,5,0,0,24,20,6,0
ABCC8,22,30,0,19,4,0,7,4
ABCD1,8928,7339,9374,7141,7732,7874,9565,9600
ABCD3,3308,3526,3647,3597,3002,2151,2223,2730
ABCD4,1751,1603,1442,1699,1114,977,777,977
ABCE1,4118,4165,2977,4016,4134,4206,3990,4603
ABCF1,6076,5367,6081,4732,6106,6226,6189,6718
ABCF2,5056,4480,4375,3929,4520,4524,4450,4851
ABCF3,5350,4436,4762,4550,3839,3717,3584,3942
ABCG1,9028,8007,10410,4260,2508,2097,3024,2799
ABCG2,487,471,777,455,134,187,148,165
ABHD1,66,62,29,11,13,10,15,27
ABHD10,1633,1605,879,1694,2152,1711,1777,1852
ABHD11,6286,5452,4634,5136,7524,7277,6338,6988
ABHD12,4411,3680,4032,3211,3086,2809,2211,2619
ABHD13,687,521,886,831,700,664,912,1019
ABHD14A,73,64,80,81,96,80,76,83
ABHD14A-ACY1,7,3,2,6,1,1,0,2
ABHD14B,1860,1654,1021,1307,1279,887,721,850
ABHD15,506,481,480,612,432,318,373,482
ABHD16A,51,51,54,44,35,27,30,23
ABHD16B,455,509,419,394,303,242,244,335
ABHD17A,5281,3970,4957,4187,3469,3506,3325,3574
ABHD17B,736,688,879,912,646,553,588,617
ABHD17C,3823,4015,3485,3419,3667,2959,2960,3311
ABHD18,721,626,492,453,714,639,552,499
ABHD2,1509,1489,1045,1503,1407,1734,1896,2039
ABHD3,615,546,512,611,650,485,609,605
ABHD4,1336,1074,2596,889,1159,1092,1176,1062
ABHD5,725,573,662,521,316,329,324,315
ABHD6,228,186,176,178,173,139,93,58
ABHD8,89,36,112,60,42,47,65,34
ABI1,3069,3047,3229,3797,3149,3086,2870,3237
ABI2,2500,2468,2462,3527,2535,2471,2529,2766
ABITRAM,919,932,895,1533,1262,1027,1279,1332
ABL1,4746,4938,4511,4955,2932,3440,3105,3773
ABL2,2354,2890,2886,2183,1250,1387,1215,1524
ABLIM1,1529,1691,914,2124,2339,2774,3199,3186
ABLIM2,163,134,165,144,119,121,99,104
ABLIM3,207,170,67,110,137,169,112,111
ABR,3631,3262,2296,2308,2775,3180,2232,2525
ABRACL,1877,1693,1920,1955,2272,1589,1777,1772
ABRAXAS1,326,355,386,455,266,222,274,321
ABRAXAS2,1142,1218,1122,787,1225,1163,1208,1286
ABT1,3180,2733,2716,2395,2983,2451,2292,2723
ABTB1,528,456,244,311,174,222,122,156
ABTB2,2777,2624,2279,2229,1607,1777,1553,1711
ACAA1,3570,3090,2843,3445,2604,2385,1915,2217
ACAA2,3190,2438,3071,2438,3756,3042,3113,3285
ACAA2P1,2,3,1,5,1,1,10,6
ACACB,2199,2586,194,495,208,375,147,176
ACAD10,1239,1283,893,1299,902,947,771,784
ACAD8,1724,1507,1409,1709,1129,1091,760,899
ACAD9,3800,3671,2337,2768,2456,2128,1912,2123
ACADL,13,6,4,47,13,23,34,25
ACADM,1615,1522,1401,1728,1733,1337,1112,1328
ACADS,338,310,154,371,227,130,97,117
ACADSB,1752,1738,854,2411,866,787,742,776
ACADVL,10422,9552,11537,8753,3818,3609,2921,3331
ACAP1,146,157,229,141,79,88,79,128
ACAP2,4006,4515,4208,4966,3219,3545,3343,3692
ACAP3,3421,3020,4432,2352,1608,1771,1542,1692
ACAT1,2226,2043,1370,2189,2413,2022,1706,1959
ACAT2,1522,1490,1620,1610,1656,1565,1442,1581
ACBD3,1297,1195,1582,1868,1520,1532,2030,2344
ACBD4,618,516,376,380,282,211,107,139
ACBD5,3879,3663,2042,1809,4256,4159,3022,3414
ACBD6,230,218,156,186,105,155,79,125
ACBD7,377,364,96,115,215,187,66,90
ACCS,194,157,117,353,207,150,130,154
ACD,1287,922,908,720,816,843,696,711
ACE,22,19,6,4,0,0,0,5
ACER2,183,184,344,327,55,94,98,140
ACER3,769,598,915,1096,688,709,767,768
ACHE,128,96,747,438,102,100,238,225
ACIN1,10863,10210,9436,8129,8227,8683,8553,9791
ACKR2,6,1,10,6,3,10,4,0
ACKR3,1504,1499,1032,795,1178,1157,745,870
ACLY,25801,23457,25427,18332,17975,19759,17788,20024
ACO1,431,380,394,480,348,272,276,326
ACO2,4838,4534,3807,4705,3360,3618,3367,3818
ACOT1,58,67,108,171,89,82,72,127
ACOT13,928,978,883,1074,1074,855,838,976
ACOT2,785,637,696,1295,1079,941,858,894
ACOT4,751,657,328,715,1534,1323,981,1026
ACOT6,1,4,2,0,7,4,2,4
ACOT7,2090,2024,1180,2192,2477,2255,2038,2242
ACOT8,1022,737,704,796,605,546,463,517
ACOT9,1010,903,1278,1202,1323,1179,1324,1315
ACOX1,2349,2373,2345,2650,2279,2178,1984,2085
ACOX2,140,137,44,206,735,491,408,484
ACOX3,578,484,435,441,493,501,382,362
ACOXL,26,5,5,10,2,0,12,12
ACP1,4721,4292,3731,3996,5491,4338,4524,4626
ACP2,2473,2028,1321,1482,1785,1443,929,1135
ACP3,39,23,24,22,97,104,108,61
ACP4,9,7,16,7,4,13,17,14
ACP5,3,15,14,2,16,0,4,1
ACP6,1326,1024,1033,730,765,616,366,422
ACP7,0,1,0,4,5,9,6,1
ACR,5,8,0,5,2,0,0,1
ACRBP,4,9,4,4,0,2,0,0
ACRV1,2,20,1,11,7,4,7,7
ACSBG1,0,10,1,1,4,2,5,1
ACSBG2,2,7,6,2,1,1,5,6
ACSF2,2356,1812,1491,1487,880,779,507,554
ACSF3,2995,2449,2156,2066,2003,2003,1742,1923
ACSL1,430,461,697,658,530,525,980,893
ACSL3,10415,9757,12640,10214,7662,6264,9446,9214
ACSL4,147,176,251,150,73,64,71,56
ACSM1,0,0,0,1,4,14,1,1
ACSM3,17,11,3,1,12,6,2,18
ACSS1,2777,2374,2853,1897,1352,1019,888,1080
ACSS2,1669,1480,2226,988,612,512,455,510
ACSS3,1419,1365,685,1530,1371,1058,921,1037
ACTA2,51,45,531,453,9,1,6,9
ACTB,166835,135677,169975,158670,284634,261255,278174,303504
ACTG1,112692,99251,163983,121754,172611,145258,173416,181247
ACTG1P17,15,2,0,3,17,8,0,4
ACTG1P25,51,29,2,17,21,14,9,2
ACTG2,14,11,36,39,116,113,122,164
ACTL6A,4667,4017,3137,4292,4524,4062,4197,4810
ACTL8,25,27,0,6,76,98,30,57
ACTN1,8400,7557,8396,6651,6527,7336,7862,8242
ACTN4,23633,19762,24264,16653,17320,20160,20019,20829
ACTR10,2298,2121,1594,2106,1946,1507,1214,1421
ACTR1A,7040,6095,7909,7147,5923,5509,4892,5592
ACTR1B,4714,3896,3668,3306,2290,1958,1699,1866
ACTR2,12894,12712,8015,9939,14318,12864,10435,11028
ACTR3,6997,6709,6728,7562,8047,7122,7108,7652
ACTR3B,737,652,453,622,562,466,440,591
ACTR3C,103,107,93,79,88,73,53,34
ACTR5,592,560,397,543,757,675,561,695
ACTR6,2690,2417,1479,2218,1561,1238,990,989
ACTR8,1146,1077,828,1056,953,880,762,739
ACTRT3,85,63,89,109,88,52,46,66
ACVR1,593,685,936,1070,613,595,662,744
ACVR1B,3275,2977,3097,2953,2337,2373,2230,2480
ACVR1C,8,8,0,7,10,10,11,6
ACVR2A,352,305,540,475,405,425,411,426
ACVR2B,1492,1836,1438,1435,901,1082,768,982
ACVR2B-AS1,118,68,32,62,79,70,45,71
ACVRL1,7,14,0,5,2,7,1,1
ACY1,60,83,46,76,63,71,45,85
ACYP1,386,399,288,353,478,319,351,441
ACYP2,253,180,139,342,201,170,190,199
ADA,476,523,712,787,394,218,342,350
ADA2,16,10,2,3,0,2,0,1
ADAL,446,491,371,611,338,320,267,339
ADAM10,2921,3169,3233,3362,3016,3157,3158,3404
ADAM11,304,242,36,89,179,172,76,126
ADAM15,14959,13740,10014,7753,9919,8841,7825,8217
ADAM17,1368,1282,1798,1460,1308,1572,1606,1835
ADAM19,5,4,0,14,0,8,1,0
ADAM1B,12,13,0,6,6,1,1,7
ADAM22,393,372,270,520,318,447,335,388
ADAM23,6,25,7,8,14,1,7,11
ADAM32,102,76,49,36,54,78,21,11
ADAM8,560,400,294,284,193,202,184,255
ADAM9,3859,3722,9701,8233,7148,6722,12079,12604
ADAMTS13,790,679,710,774,296,268,235,267
ADAMTS15,35,36,0,22,10,9,3,5
ADAMTS17,56,30,71,24,21,34,49,44
ADAMTS19,4373,3951,2470,1939,1019,870,558,678
ADAMTS19-AS1,613,645,420,410,164,167,150,178
ADAMTS20,19,22,11,25,5,28,30,8
ADAMTS6,17,20,12,24,12,14,10,11
ADAMTS7,8,14,15,47,14,7,5,7
ADAMTS9,14,2,6,5,8,8,13,1
ADAMTSL1,3,7,1,12,0,0,1,0
ADAMTSL3,44,22,1,11,37,65,39,42
ADAMTSL4,33,31,27,9,9,27,3,7
ADAMTSL4-AS1,12912,11323,18389,17803,11432,11722,12870,13586
ADAMTSL5,601,491,1174,1016,677,668,724,894
ADAP1,281,230,134,240,145,113,138,120
ADAP2,29,30,28,24,29,45,30,24
ADAR,18935,19790,13434,16959,12739,14302,12484,13650
ADARB1,1559,1545,1222,1078,777,815,904,1059
ADARB2,1,13,24,1,0,4,2,0
ADAT1,2536,2699,1951,2315,1559,1857,1573,1762
ADAT2,250,309,215,229,379,257,287,392
ADAT3,595,381,481,203,270,218,191,179
ADCK1,938,640,820,934,577,588,493,531
ADCK2,2012,1706,1586,1617,1389,1291,1327,1259
ADCK5,748,683,751,802,543,548,484,444
ADCY1,826,1016,457,739,460,824,769,749
ADCY10P1,84,73,98,122,68,77,44,73
ADCY3,2220,2380,1307,1043,1111,1366,1220,1409
ADCY5,69,144,31,27,12,6,4,1
ADCY6,6949,6661,7548,5537,3230,4175,3402,3650
ADCY6-DT,33,41,11,5,17,3,14,16
ADCY7,126,178,71,82,53,93,120,109
ADCY9,6351,7149,7213,3006,2039,2391,1935,2335
ADD1,4267,3753,4446,5123,4297,4256,5062,5122
ADD3,1259,1111,1263,2448,1455,1136,1404,1598
ADGRA1,8,8,5,24,8,5,0,8
ADGRA2,89,54,24,14,10,34,32,66
ADGRA3,1481,1497,799,1021,1096,1263,974,1116
ADGRB1,1095,938,556,971,686,706,651,613
ADGRB2,278,289,226,126,218,299,233,208
ADGRD1,39,22,8,3,4,0,0,0
ADGRD2,54,30,9,3,11,21,16,8
ADGRE2,28,14,2,6,8,8,1,16
ADGRE5,1344,1181,1202,1071,1349,1069,1050,1216
ADGRF3,13,8,2,8,8,4,7,4
ADGRF4,6,3,11,9,11,4,29,23
ADGRF5P1,7,8,10,12,9,10,9,2
ADGRG1,4306,4048,5534,5000,6591,7148,6869,7289
ADGRG2,27,27,14,24,48,61,32,28
ADGRG3,0,8,0,4,0,1,0,7
ADGRG5,0,1,1,0,9,20,16,4
ADGRG6,2687,2970,3529,4449,2536,2958,3101,3531
ADGRL1,4593,4401,5686,2817,2271,2667,2640,2761
ADGRL1-AS1,118,156,137,97,69,80,58,43
ADGRL2,40,41,94,164,32,47,48,67
ADGRL3,0,5,1,19,1,6,0,0
ADGRV1,193,273,133,208,154,178,165,170
ADH5,4543,4234,2978,5159,4385,3431,2860,3321
ADH6,6,7,0,4,1,13,5,0
ADHFE1,17,12,21,2,2,19,15,4
ADI1,4999,4125,2572,5029,6331,5302,5090,5976
ADIPOR1,13829,12761,13086,13375,10403,9185,9439,10006
ADIPOR2,6604,5322,7697,7556,5557,5805,5240,6115
ADK,4204,3829,3036,3688,4153,3504,2873,3186
ADM,12,7,130,81,43,43,118,151
ADM2,393,312,561,563,292,441,480,458
ADM5,186,115,242,225,111,95,83,83
ADNP,6568,6176,6159,6153,4972,4704,4848,5164
ADNP-AS1,12,21,16,24,40,50,4,19
ADNP2,2379,2008,1740,2173,1485,1890,1618,1831
ADO,1998,1579,2010,1862,1952,1739,1868,1935
ADORA1,1024,1011,127,521,478,570,192,131
ADORA2A,26,28,18,2,0,7,2,4
ADORA2A-AS1,25,43,34,12,5,10,0,0
ADORA2B,115,141,66,88,101,64,68,72
ADPGK,1636,1330,1836,1641,1785,1493,1827,1905
ADPRH,31,11,12,19,41,24,17,36
ADPRHL1,777,628,468,1178,385,310,226,298
ADPRM,108,118,158,82,97,90,92,109
ADPRS,1210,970,936,985,1279,1334,1056,1236
ADRA1B,4,0,0,1,0,12,0,7
ADRA2A,16,33,14,10,12,9,3,0
ADRA2C,3840,2906,4945,1429,1609,1375,1377,1481
ADRB1,29,24,31,60,28,32,12,14
ADRM1,3165,2623,3571,3162,3117,3365,3468,3887
ADSL,3280,3090,2496,3008,3732,3265,2903,3258
ADSS1,455,376,286,373,333,201,222,219
ADSS2,1837,1699,1278,1635,1450,1335,1364,1452
AEBP1,187,121,57,154,110,70,45,62
AEBP2,1706,1612,1651,1242,1481,1560,1393,1471
AEN,2083,2031,6957,4468,1552,1560,1779,1710
AFAP1,1096,1248,1149,1502,1210,1389,1653,1552
AFAP1L2,487,534,321,189,247,176,130,111
AFDN,3981,3788,4984,4279,3316,4217,4944,4847
AFF1,1363,1601,1547,1530,1128,1368,1558,1621
AFF2,4,6,1,10,0,1,0,1
AFF3,2938,3441,3817,3568,3727,4062,3367,3801
AFF4,3049,3305,5841,4322,2669,3295,4121,4489
AFG1L,284,287,188,247,195,245,180,206
AFG3L1P,2051,1853,1891,1536,1246,1404,1293,1428
AFG3L2,4501,4205,3550,3785,3629,4126,3867,4344
AFMID,925,822,681,832,865,700,855,928
AFTPH,2665,2589,3356,2431,2622,2520,2330,2581
AFTPH-DT,5,5,1,21,8,1,8,14
AGA,546,522,300,597,657,574,510,575
AGAP1,1391,1371,1210,1087,745,1003,884,815
AGAP2,494,396,393,462,246,189,204,242
AGAP2-AS1,64,37,43,54,70,46,33,46
AGAP3,7119,5835,6069,3908,4129,3832,3705,4122
AGAP4,15,24,17,25,39,22,24,8
AGAP5,7,5,5,2,0,2,2,3
AGAP6,367,420,396,404,382,367,322,465
AGBL2,78,48,17,73,48,60,14,39
AGBL3,45,49,33,55,65,35,58,56
AGBL5,2186,2028,1767,1735,998,986,805,822
AGER,149,133,129,149,99,97,76,38
AGFG1,3338,2982,4264,3855,4326,4636,4994,5274
AGFG2,2181,1985,1524,1183,1336,1305,889,1086
AGGF1,2939,3096,2205,3125,2756,2530,2440,2871
AGK,1354,1440,864,1472,1651,1383,1419,1391
AGL,951,1134,819,931,763,727,761,773
AGMAT,313,299,154,315,634,577,707,664
AGO1,1648,1968,1588,1958,966,1168,840,995
AGO2,2352,2876,3730,1879,1168,1926,1848,1910
AGO3,495,592,667,460,507,358,543,535
AGO4,729,660,974,610,355,320,266,278
AGPAT1,1275,1261,1045,1556,1011,843,695,750
AGPAT2,2787,1916,2954,2899,2311,1955,2484,2508
AGPAT3,6572,6704,4407,4189,4248,4520,3330,3368
AGPAT5,3282,3451,1274,1756,3656,3121,2551,2811
AGR2,44,63,51,133,377,363,804,869
AGRN,12448,11263,16241,17195,9923,12925,10518,11136
AGTPBP1,698,877,484,464,444,433,324,428
AGTRAP,1921,1487,1157,1223,1167,905,696,853
AHCTF1,2989,3138,2314,2419,2261,2623,2628,2857
AHCY,14898,13358,12381,13329,12446,10895,10741,11896
AHCYL1,11187,10301,10504,9202,8230,8308,8632,9206
AHCYL2,1330,1217,1616,1675,586,559,593,630
AHDC1,815,674,898,678,735,812,705,750
AHI1,494,554,522,393,343,270,298,332
AHI1-DT,63,42,27,33,18,18,3,12
AHNAK,10171,13624,11062,10599,5652,8061,6325,7547
AHNAK2,368,500,210,417,88,162,111,162
AHR,749,724,829,778,588,664,654,748
AHRR,1020,880,693,218,376,274,316,330
AHSA1,11086,9156,8666,8458,11639,9933,10259,11656
AHSA2P,862,810,776,619,360,297,391,342
AIDA,971,1047,1316,1299,1014,1009,1144,1083
AIF1L,8341,7229,3771,5292,6751,5875,4732,4860
AIFM1,9927,9137,7875,8888,6662,6231,4417,5108
AIFM1P1,8,5,7,4,10,2,2,0
AIFM2,1040,886,1499,969,1168,1130,1445,1541
AIFM3,140,181,62,41,45,52,21,38
AIG1,1223,990,431,600,1396,1223,803,765
AIMP1,2121,1868,1677,2206,2532,2041,1856,2150
AIMP2,2303,2148,1963,2188,2773,2539,2449,2702
AIP,5690,4118,3782,2768,3690,3116,2215,2369
AJAP1,1,1,1,4,6,0,0,8
AJM1,320,398,345,342,136,193,145,152
AJUBA,2671,2045,6270,5766,4185,4523,4966,4913
AJUBA-DT,90,89,38,130,59,56,39,35
AK1,394,220,378,274,158,119,134,152
AK2,5897,5461,3525,4805,7250,6335,6908,7448
AK2P1,11,18,10,4,8,14,9,16
AK3,3344,2896,4945,4701,3251,2760,3001,3170
AK4,2603,2447,1237,1725,3087,2519,2544,3038
AK6,3997,3677,3847,3703,4085,3178,2963,3298
AK7,3298,2926,2734,2717,2199,1977,1880,2084
AK8,23,37,19,35,25,19,6,5
AK9,188,192,114,170,143,127,102,89
AKAP1,6048,5782,4058,3351,4708,4444,4793,5218
AKAP10,1204,1302,1524,1327,1237,1080,996,1169
AKAP11,2505,3295,1817,1678,1858,1932,1591,2027
AKAP12,5,10,13,4,20,14,14,20
AKAP13,1045,1043,1180,1044,566,640,700,720
AKAP17A,3454,2833,4290,2772,2745,2778,2815,3093
AKAP3,25,12,12,17,13,10,4,13
AKAP5,151,205,47,39,65,65,28,29
AKAP6,95,122,98,58,25,32,18,16
AKAP7,26,8,13,26,24,17,17,54
AKAP8,2357,1979,2443,2116,1863,1886,1719,1889
AKAP8L,3135,2553,4763,2925,2332,2154,2758,2883
AKAP9,2748,3613,3932,3650,1920,2175,2274,2754
AKIP1,909,718,564,667,576,489,446,482
AKIRIN1,1944,1570,3554,3209,1902,1946,2825,3294
AKIRIN2,1750,1425,3680,2033,1559,1458,1678,1701
AKNA,487,450,261,520,529,773,605,724
AKNAD1,16,8,13,1,1,5,5,0
AKR1A1,3571,3166,2529,2268,3298,2941,2333,2396
AKR1B1,0,0,67,4,19,34,21,6
AKR1B10,8,31,495,48,31,24,166,140
AKR1B15,3,0,31,0,4,0,6,1
AKR1C1,124,175,3938,188,297,290,1881,2123
AKR1C2,971,1705,27235,1282,1854,1666,7838,8180
AKR1C3,45,71,1493,46,45,38,104,120
AKR1E2,182,220,127,91,215,230,176,213
AKR7A2,3761,3203,1579,2383,2597,2125,1448,1575
AKR7A3,16,13,5,2,3,2,12,4
AKR7L,17,5,4,14,1,6,0,4
AKT1,21244,17033,18195,21224,14793,16928,17450,20152
AKT1S1,6669,5359,5301,5447,9046,8450,7595,8288
AKT2,13101,10670,10646,9391,9965,10691,9263,10137
AKTIP,1259,1282,2331,1999,1555,1079,1488,1423
ALAD,3241,2568,2520,2977,1781,1773,1643,1783
ALAS1,1826,1539,3442,2293,1279,1030,1369,1432
ALCAM,866,866,539,425,1227,1159,1168,1235
ALDH16A1,2116,1498,1097,1207,1824,1675,1091,1211
ALDH18A1,6430,5991,4613,5695,4494,3956,3954,4415
ALDH1A3,8,3,9,6,61,81,68,35
ALDH1B1,2054,1853,1016,1590,1294,1417,1082,1166
ALDH1L2,9,5,4,2,11,3,1,3
ALDH2,28,33,34,7,22,6,13,3
ALDH3A2,4139,4210,2175,2775,3664,3250,2798,3037
ALDH3B1,252,189,93,94,76,69,55,44
ALDH3B2,6272,5869,2198,2935,2577,2729,1796,2166
ALDH4A1,3879,3210,2430,3012,2783,2392,1958,2208
ALDH5A1,1327,1520,365,1364,844,725,510,713
ALDH6A1,4375,3985,1269,2971,3159,3177,1933,2090
ALDH7A1,6141,5751,3266,5167,5333,4469,3419,3740
ALDH7A1P1,9,10,3,1,4,13,5,2
ALDH9A1,3103,3031,1560,2304,2552,2151,1872,2069
ALDOA,113872,92527,101751,92703,123006,101915,105250,117181
ALDOC,975,1083,801,558,598,378,290,458
ALG1,1924,1702,1276,1353,1544,1408,1106,1363
ALG10,312,296,170,151,290,251,251,285
ALG10B,312,291,143,212,239,218,159,220
ALG11,236,348,167,106,153,216,86,130
ALG12,1226,1073,1194,989,1068,1193,1121,1225
ALG13,1079,946,838,1248,1192,948,1101,1293
ALG14,209,168,115,132,307,232,203,290
ALG1L,448,371,315,505,390,322,258,246
ALG1L10P,10,2,2,11,3,2,5,5
ALG1L13P,4,13,5,12,12,7,15,9
ALG1L2,27,20,46,35,6,8,12,31
ALG1L8P,18,30,21,52,37,29,54,65
ALG1L9P,49,14,19,40,23,20,12,12
ALG2,1815,1592,1190,1275,2031,1788,1677,1855
ALG3,3948,3593,2920,3270,4741,3940,4473,4705
ALG5,1506,1267,967,1091,2047,1682,1431,1618
ALG6,753,778,411,791,610,482,470,516
ALG8,2561,2549,1460,2182,2349,1734,1545,1802
ALG9,259,194,218,237,248,208,179,267
ALKAL2,3,11,4,2,1,0,0,9
ALKBH1,951,827,937,1048,1049,925,930,1030
ALKBH2,3177,2529,1705,1552,2897,2468,1977,2233
ALKBH3,535,427,337,408,696,569,536,550
ALKBH3-AS1,0,1,0,6,10,4,3,4
ALKBH4,2591,1888,2189,1694,2201,2110,1660,1934
ALKBH5,4492,3875,4387,4502,3837,3315,3626,4135
ALKBH6,82,93,138,59,46,36,39,27
ALKBH7,1813,1238,1473,1727,2020,1581,1435,1511
ALKBH8,403,459,146,221,332,364,211,237
ALMS1,1223,1620,1052,1495,732,950,765,896
ALMS1-IT1,10,21,7,29,37,24,24,24
ALMS1P1,11,4,6,1,0,5,0,7
ALOX12,87,68,81,41,66,34,32,44
ALOX12-AS1,56,55,50,36,46,62,45,66
ALOX12B,5,7,2,0,3,6,0,0
ALOX12P2,229,309,515,240,209,248,344,341
ALOX15,1161,898,955,1124,1057,963,674,793
ALOX5,1,1,1,4,1,12,1,0
ALOXE3,9,19,4,37,12,9,17,12
ALPK1,244,254,187,321,264,159,212,205
ALPK3,117,78,132,11,64,80,26,60
ALPL,55,43,2,1,113,74,9,20
ALS2,1561,1821,2065,1994,1204,1328,992,1134
ALS2CL,679,763,328,375,555,388,315,198
ALYREF,8776,7224,5041,7283,10189,9404,9064,10185
AMACR,129,125,26,44,88,95,28,28
AMBP,362,356,149,134,338,246,223,210
AMBRA1,2536,2314,2236,1912,1656,1880,1677,1857
AMD1,4099,3516,4764,3375,4927,4388,4402,4903
AMDHD1,9,12,6,19,10,6,4,3
AMDHD2,1306,1233,928,693,913,915,681,703
AMER1,426,477,260,366,343,477,553,418
AMFR,7260,6976,6224,4177,4716,3837,3336,3527
AMH,935,712,735,759,485,413,440,570
AMIGO1,534,429,416,410,356,361,439,470
AMIGO2,2816,2646,1473,2210,1078,1078,744,832
AMMECR1,1183,1215,636,862,1926,1993,1662,1896
AMMECR1L,2336,2102,3125,2700,1714,1816,2050,2264
AMN,40,43,37,11,25,13,6,9
AMN1,176,206,306,220,114,72,109,152
AMOT,110,113,93,171,74,89,99,67
AMOTL1,4994,4569,2019,2390,6071,6946,3199,3831
AMOTL2,1619,1367,2660,2544,2123,2486,2684,2487
AMPD1,19,34,20,33,12,22,3,12
AMPD2,4185,3678,4717,2732,2489,2506,2697,2952
AMPD3,9,4,20,24,22,21,20,45
AMPH,32,17,1,16,2,7,0,15
AMT,186,167,113,100,64,49,33,45
AMTN,4,0,0,1,7,4,22,20
AMZ1,624,642,430,790,1175,1852,1510,1445
AMZ2,3595,2976,4451,5666,1146,1006,799,1054
AMZ2P1,330,319,471,531,120,77,99,106
ANAPC1,2574,2632,1867,1702,2268,2589,2691,3045
ANAPC10,320,288,250,456,411,301,253,300
ANAPC11,6824,5017,5654,5031,7384,5820,5431,5971
ANAPC13,1762,1563,1890,2194,2511,1908,2105,2299
ANAPC15,466,451,289,301,514,495,405,478
ANAPC16,4182,3681,3591,4345,5404,4050,4028,4250
ANAPC1P4,96,89,88,57,46,43,62,75
ANAPC2,4027,3228,3361,2859,2406,2607,2263,2575
ANAPC4,720,858,491,664,690,597,505,521
ANAPC5,6873,6391,4893,5598,7763,6774,6342,7318
ANAPC7,3772,3490,2581,2850,4491,3773,3399,3853
ANG,13,1,4,1,22,17,17,19
ANGEL1,3773,3355,3582,3566,2435,2548,2676,2782
ANGEL2,1071,960,1179,1339,704,642,641,671
ANGPT1,5,0,12,10,26,26,15,18
ANGPTL4,256,233,207,127,159,193,85,172
ANGPTL6,10,15,11,14,5,24,26,7
ANGPTL8,65,119,129,64,73,51,42,87
ANK1,10,11,42,36,2,1,2,0
ANK3,1783,1742,2366,3276,1496,1787,2092,2295
ANKAR,76,84,35,69,98,90,72,103
ANKDD1A,17,33,41,25,14,14,6,22
ANKDD1B,30,20,24,10,24,9,4,14
ANKEF1,653,738,451,739,602,521,467,550
ANKFY1,2374,2628,2064,2095,1560,1920,1703,1855
ANKH,1033,1078,644,778,702,559,663,821
ANKHD1,72,103,117,83,74,65,69,72
ANKHD1-EIF4EBP3,8,11,19,2,11,1,16,7
ANKIB1,6891,7785,8797,8376,5866,6127,6226,6912
ANKK1,25,18,0,0,1,0,4,1
ANKLE1,7,3,2,5,3,9,5,14
ANKLE2,3791,3362,4016,2710,2952,2974,2877,3311
ANKMY1,324,363,247,232,229,277,244,308
ANKMY2,830,770,883,1015,493,378,329,363
ANKRA2,592,448,493,512,467,387,266,301
ANKRD1,0,0,265,32,9,0,37,30
ANKRD10,1470,1231,2027,824,1058,796,872,986
ANKRD11,7790,7884,11489,6712,5426,6532,7504,8293
