Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
DUXAP8,1547,1478,1249,1220,1578,1636,1589,1682
DUXAP9,1380,1465,1084,968,1296,1268,1164,1320
DVL1,6604,5364,7014,3353,5175,5312,4686,4800
DVL2,4606,4169,4910,2937,3078,2995,2677,2710
DVL3,8912,8441,9852,6735,6090,6767,5963,6499
DXO,711,580,794,565,440,404,282,373
DYM,1961,1688,1279,960,1717,1457,1258,1295
DYM-AS1,18,6,2,7,7,1,1,14
DYNC1H1,11915,15754,21747,10663,6368,9494,9868,11315
DYNC1I1,206,131,199,147,115,70,98,77
DYNC1I2,2961,3011,2458,3466,3348,3228,2596,3055
DYNC1I2P1,12,10,18,9,21,8,15,4
DYNC1LI1,2389,2215,2403,2610,2163,1913,1658,1806
DYNC1LI2,3726,3874,3187,3291,2220,2599,2102,1957
DYNC2H1,655,824,397,557,444,651,386,373
DYNC2I1,718,864,756,717,245,250,251,211
DYNC2I2,12432,9755,6144,6488,10078,9495,6542,7653
DYNC2LI1,469,416,397,465,294,218,207,208
DYNLL1,11302,9354,8291,10580,12088,10057,8996,10193
DYNLL2,9056,8545,8663,10389,8281,8183,9214,9751
DYNLRB1,4249,3002,4362,4268,3415,2937,3066,3349
DYNLRB2,15,21,7,12,5,19,10,20
DYNLT1,2594,1901,2717,2731,2496,1855,2193,2312
DYNLT2,31,14,19,11,14,15,21,20
DYNLT2B,109,92,70,52,125,66,80,97
DYNLT3,259,279,334,400,63,81,91,78
DYNLT4,0,0,1,1,12,1,2,8
DYRK1A,1884,1933,2560,2200,1701,1909,1598,1898
DYRK1B,1657,1336,2456,2292,577,544,409,390
DYRK2,2727,2761,4506,3565,2320,2324,2955,2946
DYRK3,149,158,66,116,95,50,44,44
DYRK4,88,72,32,61,66,23,52,36
DYSF,9,16,1,6,4,10,0,4
DZANK1,203,251,173,217,169,130,84,173
DZIP3,1206,1391,882,1523,1008,962,790,975
E2F1,5688,4715,2724,1820,3529,3603,2564,3034
E2F2,1846,1618,442,566,956,1082,781,916
E2F3,2034,1967,2163,1616,2369,2206,2396,2354
E2F4,4399,3909,5749,4485,4764,4412,5727,6123
E2F5,663,706,684,565,545,445,364,379
E2F5-DT,12,0,0,3,3,0,7,1
E2F6,1373,1247,1863,1217,1278,1057,1283,1354
E2F7,1105,1098,832,1124,1072,1170,1137,1282
E2F8,1246,1243,327,550,900,994,651,784
E4F1,3469,2973,3118,2493,2538,2624,2588,2638
EAF1,1938,1923,2415,2811,1099,998,1138,1313
EAF2,124,103,94,134,145,137,97,105
EAPP,3216,2835,1564,2398,2660,2108,1644,1853
EARS2,3862,3988,3050,3762,2884,2991,2409,2808
EBAG9,2148,1886,1413,1866,1786,1691,1281,1509
EBF1,73,79,1,14,14,3,1,1
EBF4,458,361,252,191,402,439,243,274
EBLN2,13,31,43,28,8,1,21,20
EBNA1BP2,2745,2417,2179,2609,2900,2427,2576,2691
EBP,3079,2529,2100,1471,3188,2724,2148,2401
EBPL,2853,2626,1565,1805,3564,2863,2654,2943
ECD,2345,2249,1889,2014,2440,2247,2021,2333
ECE1,3610,3083,1658,1263,2520,2162,1122,1392
ECE2,2351,1772,1770,1129,2033,1758,1556,1684
ECEL1,7,4,3,7,1,1,0,0
ECH1,4911,3641,4585,3592,5659,3617,4253,4678
ECHDC1,1034,935,1032,1308,1273,897,1072,1176
ECHDC2,791,685,674,591,597,499,581,593
ECHDC3,773,633,151,356,1167,1095,984,984
ECHS1,13546,10261,9317,11107,17452,14773,12500,14102
ECI1,5721,4182,2915,4628,5040,4528,3866,4536
ECI2,805,581,394,525,956,738,670,558
ECM1,26,10,18,47,3,20,7,32
ECPAS,4465,4267,4123,3454,3370,3604,4077,4539
ECSIT,3052,2157,3456,2517,2171,1944,1591,1969
ECT2,6616,7385,4559,5853,9288,8765,8751,9589
EDA,124,109,38,78,42,65,33,21
EDA2R,37,70,317,251,1,1,2,5
EDARADD,11,7,2,4,0,0,4,1
EDC3,1776,1773,1749,1641,1758,1575,1622,1824
EDC4,4162,3777,3870,3862,1211,1688,1680,2047
EDEM1,1701,1856,1434,1270,1190,1030,880,1041
EDEM2,1765,1506,1814,1387,1120,899,801,907
EDEM3,3196,3697,2940,2845,2511,2856,2955,3196
EDF1,9968,6831,7636,7813,10110,9262,8709,9585
EDIL3,2,8,34,5,1,2,2,0
EDN1,1911,1574,3191,1139,4115,3120,4137,4252
EDN2,158,118,37,51,93,138,23,59
EDNRA,35,47,21,50,53,47,39,42
EDRF1,1557,1580,1332,1440,1269,1433,1285,1497
EDRF1-DT,22,29,7,4,17,16,8,2
EEA1,1726,2185,1523,1600,1861,1942,2002,1828
EED,1745,1413,959,1481,1949,1607,1623,1830
EEF1A1,290165,272857,264665,265190,361350,295520,293218,321478
EEF1A1P10,9,4,6,10,7,12,9,1
EEF1A1P19,95,77,112,57,79,67,67,73
EEF1A1P22,13,12,6,5,12,9,5,8
EEF1A1P24,6,14,5,15,16,11,11,18
EEF1A1P25,8,11,12,11,17,11,10,6
EEF1A1P35,14,21,9,17,10,3,6,14
EEF1A1P4,18,20,13,15,15,12,21,21
EEF1A1P8,7,2,4,1,7,0,3,2
EEF1A2,38598,28901,43905,31426,35625,32250,31476,33200
EEF1AKMT1,330,305,144,192,425,318,226,251
EEF1AKMT2,237,265,194,225,372,249,368,365
EEF1AKMT3,580,489,328,355,584,512,429,527
EEF1B2,26955,24450,21069,22320,26809,20641,21923,22927
EEF1B2P2,7,3,3,0,14,1,2,6
EEF1B2P3,142,152,143,104,193,131,171,143
EEF1B2P6,28,12,26,11,32,15,19,25
EEF1D,11326,9964,11515,9359,11069,9811,11164,11529
EEF1DP1,9,14,26,15,18,6,14,14
EEF1E1,325,308,167,205,388,313,225,334
EEF1GP5,4,1,2,3,4,5,3,3
EEF2,225852,196311,263848,201779,190935,191226,201246,216776
EEF2K,2377,2657,1003,1387,1889,1785,1287,1352
EEF2KMT,1304,1263,1094,1194,1656,1431,1613,1828
EEFSEC,1603,1352,956,1088,1164,972,723,703
EEPD1,24,27,19,94,42,47,31,38
EFCAB10,1,14,10,19,16,22,24,7
EFCAB11,522,567,313,709,685,418,391,465
EFCAB12,0,10,2,15,0,1,0,4
EFCAB13,97,130,43,54,45,86,28,30
EFCAB14,3924,4203,4553,5475,3532,3650,3657,3939
EFCAB2,107,135,66,54,144,115,71,46
EFCAB3,19,14,25,18,25,17,6,5
EFCAB5,10,4,13,5,23,4,7,5
EFCAB6,70,66,29,57,38,33,28,26
EFCAB7,160,146,77,109,107,79,35,51
EFEMP1,656,563,549,1142,990,1065,936,964
EFEMP2,139,123,132,78,36,22,30,14
EFHB,19,10,11,10,12,16,1,18
EFHC1,715,579,406,431,375,301,217,232
EFHD1,10235,7283,5247,5813,10796,10834,8809,9333
EFHD2,2320,2102,1323,1597,1776,1686,1657,1744
EFL1,1230,1275,1213,1238,799,790,897,894
EFNA1,3260,2583,3878,2124,3891,2907,2269,2233
EFNA2,94,74,48,67,76,79,67,65
EFNA3,884,559,479,369,792,595,396,468
EFNA4,1164,920,1111,999,1017,883,698,819
EFNA5,266,282,277,352,450,239,313,391
EFNB1,334,250,203,289,237,240,238,255
EFNB2,933,884,1085,971,530,480,760,802
EFNB3,820,608,697,391,164,107,49,60
EFR3A,1854,1722,1207,1707,2419,2494,2814,2861
EFR3B,349,424,480,316,137,177,188,188
