"","SYMBOL","GSM2252986","GSM2252987","GSM2252988","GSM2252989","GSM2252990","GSM2252991","GSM2252992","GSM2252993","GSM2252994","GSM2252995","GSM2252996","GSM2252997"
"1","A1BG",13,21,16,18,19,11,5,6,1,6,3,3
"2","NAT2",7,2,10,4,6,6,2,2,1,1,2,0
"3","ADA",504,422,563,426,463,409,987,973,880,685,612,679
"4","CDH2",3850,3640,3882,3538,4221,4199,3579,4548,4139,3714,4231,3450
"5","AKT3",3326,3248,3551,3027,3359,3283,1184,1566,1379,1730,1713,1546
"6","GAGE12F",0,0,0,0,0,0,0,0,0,0,0,0
"7","RNA5-8SN5",1335,13,65,15,15,18,79,52,53,24,48,22
"8","RNA18SN5",31461,741,3203,706,743,780,1874,1622,1366,716,3147,681
"9","RNA28SN5",42339,14457,9545,12935,15471,14145,13175,12362,6865,8147,10915,7622
"10","TRY-GTA7-1",0,0,0,0,0,0,0,0,0,0,0,0
"11","TRY-GTA5-4",0,0,0,0,0,0,0,0,0,0,0,0
"12","TRF-GAA2-1",0,0,0,0,0,0,0,1,0,0,0,0
"13","TRF-GAA1-4",0,0,0,0,0,0,0,0,0,0,0,0
"14","TRH-GTG1-6",0,0,0,3,3,2,3,1,0,0,0,1
"15","LINC02584",1,2,1,1,5,7,0,1,2,3,6,2
"16","POU5F1P5",0,0,0,0,0,0,0,2,0,1,0,0
"17","ZBTB11-AS1",146,142,194,135,169,151,197,224,144,156,157,172
"18","MED6",1112,981,1145,1052,1187,1161,2097,2221,2128,1713,1692,1536
"19","NR2E3",2,2,0,6,0,4,2,12,12,5,1,5
"20","NAALAD2",118,100,93,134,136,123,72,102,99,79,69,61
"21","DUXB",3,0,0,0,0,0,0,0,0,0,1,0
"22","SNORD116-1",9,2,8,2,0,2,0,2,0,0,1,1
"23","SNORD116-2",1,1,5,3,3,4,1,2,0,1,0,0
"24","SNORD116-3",1,0,0,0,1,1,2,1,0,0,1,0
"25","SNORD116-4",24,15,28,17,22,18,13,15,13,10,11,11
"26","SNORD116-5",1,1,0,0,1,1,0,0,0,0,0,0
"27","SNORD116-6",3,4,1,4,0,3,3,1,2,1,4,1
"28","SNORD116-7",2,1,3,3,1,0,3,3,2,0,0,0
"29","SNORD116-8",2,2,3,2,2,0,6,9,5,1,6,4
"30","SNORD116-9",0,0,0,0,1,0,1,0,0,0,1,0
"31","SNORD116-10",0,0,0,0,0,0,0,0,0,0,0,0
"32","SNORD116-11",0,0,0,0,0,0,0,0,0,0,0,0
"33","SNORD116-12",0,1,0,2,3,0,2,3,0,1,3,1
"34","SNORD116-13",3,0,2,1,2,0,1,0,1,1,0,1
"35","SNORD116-14",4,1,2,4,2,2,1,1,1,0,0,0
"36","SNORD116-15",1,2,0,1,1,0,0,0,0,0,1,0
"37","SNORD116-16",2,1,0,2,0,1,0,0,0,0,0,0
