"","SYMBOL","GSM4143534","GSM4143535","GSM4143536","GSM4143537","GSM4143538","GSM4143539","GSM4143540","GSM4143541","GSM4143542","GSM4143543","GSM4143544","GSM4143545","GSM4143546","GSM4143547","GSM4143548","GSM4143549"
"71","SNORD115-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","SNORD115-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","SNORD115-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","SNORD115-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","SNORD115-32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","SNORD115-33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","SNORD115-34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","SNORD115-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","SNORD115-36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","SNORD115-37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","SNORD115-38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","SNORD115-39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","SNORD115-40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","SNORD115-41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","SNORD115-42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","SNORD115-43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","SNORD115-44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","MIR675",0,0,1,1,0,2,0,2,5,16,1,2,2,3,0,1
"89","SNORD116-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","SNORD116-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","SNORD115-48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","PDZK1P1",1,3,0,1,0,3,0,2,0,2,0,2,0,2,0,4
"93","SNORD115-24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"94","SNORD115-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","SNORD115-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","SNORD115-45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","SNORD115-47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","DDTL",57,264,42,190,83,396,87,330,76,376,68,361,85,329,68,332
"99","TLX1NB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","NAALADL1",2,6,2,6,3,9,3,11,2,15,3,10,1,15,2,14
"101","CDKN2B-AS1",1,8,1,5,1,2,2,7,0,1,6,4,1,4,0,6
"102","GUSBP17",1,9,5,21,2,5,3,11,2,6,3,7,2,10,8,12
"103","SIGLEC14",0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0
"104","TRK-TTT3-4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"105","TRV-CAC1-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","NINJ2-AS1",0,4,1,7,0,19,2,14,1,7,1,16,1,6,1,14
"107","ACOT8",13,57,10,63,28,109,18,89,17,103,18,126,15,92,16,119
"108","ABI1",119,476,72,320,73,328,74,373,111,447,115,804,60,436,90,626
"109","GNPDA1",153,698,113,448,180,893,202,773,142,692,145,1066,126,918,175,988
"110","MIMT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","KCNE3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","ZBTB33",107,515,88,354,139,671,133,496,100,489,124,736,112,722,131,701
"113","SNHG8",54,234,36,127,51,196,37,170,89,323,52,446,30,311,35,265
"114","GTF2IP4",166,787,99,492,205,893,182,814,175,827,169,1394,206,1176,192,1170
"115","GS1-600G8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","CDH3",363,1894,266,1227,595,2515,563,2450,589,2674,485,3762,501,3117,574,2961
"117","TANK",175,870,102,573,108,469,144,561,94,486,145,1070,82,516,102,741
"118","TTTY21B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","TTTY1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","TTTY2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","TTTY8B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","TTTY7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","TTTY23B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","LOC100101148",0,1,2,1,2,3,2,4,0,1,1,3,1,2,1,3
"125","HAVCR1P1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"126","POM121C",221,1010,150,676,308,1461,291,1291,295,1573,254,1376,333,1661,199,1485
"127","PMS2P7",1,3,1,3,2,6,0,5,2,2,2,8,1,7,1,6
"128","ZSCAN30",14,51,5,29,20,52,19,42,10,46,12,87,9,58,12,79
"129","H2BW3P",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"130","ANKRD26P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","SRA1",42,202,41,190,87,357,76,266,120,604,53,335,105,365,85,347
"132","SNORD119",0,2,0,1,0,0,1,1,0,0,0,0,0,0,2,1
"133","SNORD121A",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2
"134","SNORD125",0,5,5,5,0,3,1,2,1,4,2,4,0,5,1,5
"135","SNORD19B",0,2,1,0,0,2,0,2,0,1,1,2,0,2,0,2
"136","SNORD105B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","SNORD123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","UCKL1-AS1",5,20,3,15,7,32,8,36,6,22,3,38,5,26,6,30
"139","SNORD127",0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0
"140","SNORD126",0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0
"141","SNORD11B",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"142","SNORD12B",3,23,8,37,4,8,6,21,1,6,2,10,0,9,2,11
"143","SNORD111B",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"144","LIN28B-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","LINC00583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","TMEM170B",16,109,26,89,16,102,28,128,6,50,31,251,15,140,14,198
"147","FAM138E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","SNORD58C",0,4,0,0,0,0,1,5,0,0,1,1,0,2,0,3
"149","SCARNA27",0,1,0,4,0,1,1,4,0,0,0,7,0,2,1,1
"150","SNORA84",0,3,2,5,1,3,1,5,1,1,1,2,1,1,2,4
"151","SNORA36C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"152","SNORA38B",0,2,1,1,0,0,0,3,0,0,1,0,0,1,1,1
"153","SNORA70B",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"154","SNORA70C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","SNORA11B",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"156","SNORA11C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","SNORA11D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","HOTAIR",0,1,0,1,2,4,0,6,0,2,1,7,0,6,0,5
"159","ZGLP1",1,1,1,0,0,1,0,4,0,3,0,0,1,3,0,7
"160","FAM86JP",11,51,6,16,14,82,9,54,13,73,6,75,14,97,14,104
"161","FMR1-AS1",0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"162","MIR298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","MIR300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","VTRNA2-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"165","MIR509-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","MIR450B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","MIR890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","MIR891B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","MIR888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","MIR892B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","MIR541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","MIR875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"173","MIR876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","MIR147B",0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,1
"175","MIR744",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"176","MIR877",0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1
"177","MIR665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","MIR873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","MIR374B",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"180","MIR301B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","MIR216B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","MIR920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","MIR922",2,3,1,2,1,16,2,13,3,8,2,14,2,14,1,10
"184","MIR924",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"185","MIR934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","MIR935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","MIR936",0,0,0,0,1,5,0,1,1,10,0,2,3,5,1,0
"188","MIR938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","MIR940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","MIR941-1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"191","MIR941-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","MIR942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","MIR943",5,21,5,17,5,26,8,29,4,25,7,32,3,26,6,27
"194","MIR708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","MIR885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","MIR543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","MIR208B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","MIR509-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","MIR937",11,47,7,42,17,85,20,66,16,70,14,57,17,87,11,79
"200","MIR941-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","MIR944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","MIR891A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","MIR892A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","MIR874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205","MIR889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","MIR190B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","MIR887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","MIR760",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"209","MIR921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","MIR933",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"211","MIR939",7,46,6,31,14,46,14,51,11,44,12,72,9,41,10,45
"212","MIR941-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","MIR297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","MIR365A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","MIR365B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","LOC100126447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","GJE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","LOC100126584",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"219","LINC00322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","SNAR-G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","SNAR-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","NAV2-AS6",1,2,0,2,1,2,0,5,0,0,1,2,0,2,2,3
"223","EGOT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","GHRLOS",5,15,3,14,4,24,5,27,1,10,4,25,1,23,5,28
"225","SNAR-A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","SNAR-A2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","SNAR-A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","MINAR2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
