"","SYMBOL","GSM1921811","GSM1921812","GSM1921813","GSM1921814","GSM1921815","GSM1921816","GSM1921817","GSM1921818"
"14207","LOC107983966",0,0,0,0,0,0,0,0
"14208",NA,0,0,0,0,0,0,0,0
"14209",NA,19,34,74,34,32,27,14,31
"14210","LOC107983974",0,0,0,0,0,0,0,1
"14211","CAPS2-AS1",0,0,0,0,1,0,0,0
"14212","LOC107983976",1,2,3,4,2,8,0,1
"14213",NA,25,40,81,36,59,50,21,90
"14214","LOC107983980",0,0,2,0,0,0,0,0
"14215","LOC107983981",0,0,0,0,0,0,0,0
"14216","LOC107983982",0,0,0,0,0,0,0,0
"14217","LOC107983983",0,0,0,0,0,0,0,0
"14218","LOC107983985",0,0,0,0,0,0,0,0
"14219","SPEM3",1,0,1,0,0,0,0,0
"14220","LOC107983989",0,0,0,0,0,0,0,0
"14221","LOC107983990",5,3,14,0,2,5,3,4
"14222",NA,0,0,0,0,0,0,0,0
"14223","UPK3BL2",145,277,640,292,336,324,118,392
"14224","LOC107983995",1,6,5,2,9,8,5,8
"14225",NA,5,12,23,15,9,18,5,11
"14226","LOC107983998",69,152,337,188,113,141,41,199
"14227","LINC02792",0,0,0,0,0,0,0,0
"14228","LOC107984000",0,1,2,0,0,2,1,6
"14229","LOC107984001",0,0,0,0,0,0,0,0
"14230","LINC02646",0,0,3,3,0,0,0,0
"14231","LOC107984003",0,0,0,0,0,0,0,0
"14232","LOC107984004",0,0,0,1,0,0,0,0
"14233","LOC107984005",0,0,0,1,0,0,0,0
"14234","LOC107984006",36,68,150,90,52,54,13,79
"14235","LOC107984007",0,0,0,0,0,0,0,0
"14236","LINC00415",0,0,0,0,0,0,0,0
"14237","LOC107984010",0,0,0,0,0,0,0,0
"14238","LOC107984011",3,0,0,0,5,2,3,1
"14239","LOC107984012",0,0,0,0,0,0,0,0
"14240","LOC107984013",0,0,0,0,0,0,0,0
"14241",NA,0,0,0,0,0,0,0,0
"14242","LOC107984015",0,0,0,0,0,0,0,0
"14243","LOC107984016",4,7,9,6,5,5,3,6
"14244","LOC107984017",0,0,0,0,0,0,0,0
"14245","LOC107984018",1,0,0,0,1,3,0,0
"14246","LOC107984019",21,64,57,41,66,76,18,64
"14247","LOC107984020",0,0,0,0,0,0,0,0
"14248",NA,1,2,1,1,2,0,1,4
"14249",NA,2,1,1,0,3,2,1,3
"14250",NA,0,0,0,0,0,0,0,1
"14251",NA,2,7,4,1,12,10,1,14
"14252",NA,164,275,662,313,337,304,118,374
"14253","LINC02277",0,0,0,0,0,0,0,0
"14254","LINC02810",0,0,0,0,0,0,0,0
"14255",NA,9,17,17,17,11,21,11,22
"14256",NA,1,0,5,0,2,1,0,0
"14257",NA,1,0,1,4,3,3,2,1
"14258","LOC107984034",8,9,9,5,8,12,4,12
"14259","LOC107984035",69,138,87,59,125,125,38,98
"14260","RAB33B-AS1",11,38,58,28,49,42,13,41
"14261","LOC107984037",0,0,0,0,0,0,0,0
"14262",NA,0,0,0,2,0,0,0,0
"14263","LOC107984041",1,2,2,2,4,3,2,6
"14264","LOC107984043",10,21,27,17,32,22,11,30
"14265","LOC107984059",0,1,2,0,0,3,0,1
"14266",NA,3,8,18,6,13,14,7,8
"14267","LOC107984079",1,1,2,0,0,1,0,4
"14268","LOC107984083",0,0,0,0,0,0,0,0
"14269","LOC107984087",0,1,0,0,0,0,0,0
"14270","LOC107984088",2,4,7,0,6,4,2,7
"14271","LOC107984089",0,1,1,1,0,0,0,1
"14272","LOC107984098",0,0,0,0,0,0,0,0
"14273",NA,1,2,9,6,0,1,5,13
"14274",NA,2,5,2,4,3,9,2,7
"14275",NA,1,3,1,3,6,8,2,16
"14276","LOC107984112",9,15,27,11,25,27,10,20
"14277","LOC107984113",0,0,2,0,0,0,0,0
"14278","MIR583HG",1,0,2,2,0,0,0,3
"14279","LOC107984116",0,0,0,0,0,0,0,0
"14280","LINC02058",0,0,0,0,0,0,0,0
"14281","LOC107984118",1,0,3,0,0,0,2,0
"14282",NA,3,11,14,8,10,13,2,17
"14283","LOC107984123",3,7,0,0,14,8,0,0
"14284","LOC107984124",4,16,35,15,23,24,16,41
"14285",NA,2,7,4,2,9,2,0,2
"14286","LOC107984126",8,20,22,9,16,19,8,19
"14287",NA,0,1,4,1,0,0,0,1
"14288","LOC107984128",3,5,8,3,8,7,1,5
"14289",NA,3,4,11,7,15,10,3,20
"14290",NA,2,2,0,1,1,0,0,2
"14291","LOC107984131",0,0,0,0,0,0,0,0
"14292","LOC107984132",0,0,0,0,0,0,0,0
"14293",NA,0,0,0,0,0,0,0,0
"14294","LOC107984137",0,0,0,0,0,0,0,0
"14295",NA,230,374,517,299,537,472,130,429
"14296",NA,1,4,6,1,2,3,0,4
"14297",NA,25,56,96,44,40,42,8,54
"14298",NA,1,2,1,1,2,2,1,4
"14299","LOC107984150",2,3,10,5,1,1,0,0
"14300","LINC02935",1,0,2,2,5,2,1,3
"14301",NA,4,4,3,1,2,3,1,1
"14302","LOC107984168",0,0,0,0,0,0,0,0
"14303",NA,1,1,2,0,1,0,0,2
"14304","LOC107984170",0,0,0,0,0,0,0,0
"14305","LOC107984171",0,0,0,0,0,0,0,0
"14306","LOC107984172",0,0,2,0,0,1,0,2
"14307","LOC107984173",1,0,2,0,0,0,1,3
"14308","LOC107984174",0,0,0,0,0,0,0,0
"14309","LOC107984175",0,0,0,0,0,0,0,0
"14310",NA,0,0,0,0,0,0,0,0
"14311",NA,0,0,0,0,0,0,0,0
"14312","LINC02632",0,0,0,0,0,0,0,0
"14313","LOC107984179",0,0,0,0,0,0,0,0
"14314","LOC107984180",0,0,0,0,0,0,0,0
"14315","LOC107984181",0,0,0,0,0,0,0,0
"14316","LOC107984182",0,0,0,0,0,0,0,0
"14317","LOC107984183",0,0,0,0,0,0,0,0
"14318","LOC107984184",0,0,0,0,0,0,0,0
"14319","LOC107984185",0,0,0,0,0,0,0,0
"14320","LOC107984186",0,0,0,0,0,0,0,0
"14321","LOC107984187",0,0,0,0,0,0,0,0
"14322","LOC107984188",0,0,0,0,0,0,0,0
"14323",NA,0,0,0,0,0,0,0,0
"14324","LOC107984190",44,77,91,64,91,91,34,81
"14325","LOC107984191",0,0,0,0,0,0,0,0
"14326","LOC107984192",0,0,0,0,1,0,0,2
"14327","LOC107984193",0,0,0,0,0,0,0,0
"14328","LOC107984195",0,0,0,0,0,0,0,0
"14329",NA,0,1,0,0,0,0,0,0
"14330","LOC107984197",0,0,3,5,2,1,2,3
"14331","LOC107984198",1,0,1,1,6,0,1,1
"14332","LOC107984199",0,1,1,0,1,1,0,1
"14333","LOC107984200",111,247,483,262,372,365,168,420
"14334","LOC107984201",0,0,0,0,0,0,0,0
"14335","LOC107984202",3,4,16,9,2,3,0,4
"14336","LOC107984203",6,8,26,10,4,16,5,14
"14337",NA,5,3,17,4,11,6,6,6
"14338","LOC107984205",0,0,0,0,0,0,0,0
"14339","LOC107984206",0,0,0,0,0,0,0,0
"14340","LOC107984207",0,0,0,0,0,0,0,0
"14341","USP6NL-AS1",1,5,9,8,10,6,4,10
"14342","LOC107984209",0,0,0,0,0,0,0,0
"14343","LOC107984210",12,34,60,32,40,20,9,44
"14344","LOC107984211",0,1,0,2,3,0,0,2
"14345",NA,0,1,1,1,0,0,0,3
"14346","LOC107984213",0,0,0,0,0,0,0,0
"14347","LOC107984214",2,2,14,3,5,3,3,8
"14348","LOC107984215",0,1,0,0,0,0,0,0
"14349","LOC107984216",0,0,0,0,0,0,0,0
"14350","LOC107984217",0,0,0,0,1,1,1,1
"14351","LOC107984218",0,0,0,0,0,0,0,0
"14352","LOC107984219",243,449,475,302,366,358,136,295
"14353","LOC107984220",5,10,22,10,19,14,9,20
"14354","LOC107984221",1,1,1,0,0,3,1,0
"14355","LOC107984222",0,0,0,0,1,0,0,0
"14356","LOC107984223",0,0,0,0,0,0,0,0
"14357",NA,7,13,12,10,13,10,7,14
"14358","LOC107984225",0,0,0,0,0,0,0,0
"14359","LOC107984226",0,0,0,0,0,0,0,0
"14360",NA,2,2,0,1,1,2,1,3
"14361","LOC107984235",0,0,0,0,0,0,0,0
"14362","LOC107984236",0,0,0,0,0,0,0,0
"14363","LINC02625",0,0,0,0,0,0,1,0
"14364","LOC107984238",0,0,0,0,0,0,0,0
"14365","LOC107984239",0,0,0,0,0,0,0,0
"14366","LOC107984240",0,0,2,0,0,0,0,0
"14367","LINC02640",0,0,0,0,0,0,0,0
"14368","LOC107984242",3,2,11,3,6,4,1,0
"14369","LOC107984243",37,60,106,69,107,94,29,98
"14370",NA,1,0,2,1,0,2,1,4
"14371","LOC107984245",0,0,0,0,0,0,0,0
"14372","LOC107984246",0,0,0,0,0,0,0,0
"14373",NA,76,137,148,82,241,163,57,131
"14374",NA,9,19,42,20,18,22,10,18
"14375","LOC107984249",0,0,0,0,0,0,0,0
"14376","LOC107984251",16,28,73,35,54,35,40,60
"14377","LOC107984252",0,0,0,0,0,0,0,0
"14378","LOC107984253",0,0,0,0,0,0,0,0
