"","SYMBOL","GSM2211605","GSM2211606","GSM2211607","GSM2211608","GSM2211609","GSM2211610","GSM2211611","GSM2211612","GSM2211613","GSM2211614"
"5087","LOC101929200",62,62,69,115,119,96,95,60,112,133
"5088","LOC101929201",4,8,7,9,14,9,13,9,7,10
"5089","MKX-AS1",1,0,1,2,0,0,0,0,0,1
"5090","LOC101929204",40,39,42,60,84,70,40,36,41,63
"5091","LINC01729",0,0,1,0,0,0,1,1,0,0
"5092","LOC101929208",0,0,0,0,0,0,0,0,1,0
"5093","SMARCAD1-DT",0,0,0,0,0,0,0,0,2,0
"5094","SMIM2-AS1",3,4,6,9,9,6,10,4,6,5
"5095","THBS4-AS1",5,10,7,16,15,13,8,5,10,26
"5096",NA,0,0,1,0,0,0,0,0,1,0
"5097","LOC101929217",0,1,0,1,0,1,0,0,0,0
"5098","LINC01517",0,0,0,0,0,0,0,0,0,0
"5099","INSYN1-AS1",0,0,0,1,0,0,0,1,1,0
"5100","DISC1FP1",14,13,9,11,9,11,10,13,7,1
"5101","DDX59-AS1",0,1,1,3,4,2,1,1,2,2
"5102","MCM8-AS1",10,10,5,11,9,8,9,11,6,14
"5103","LOC101929227",1,0,0,0,1,0,0,0,0,0
"5104","PINX1-DT",1,2,0,0,1,0,0,0,2,0
"5105","LOC101929230",2,8,3,15,23,16,0,1,2,13
"5106","MMADHC-DT",80,87,74,90,89,93,103,105,109,128
"5107","LOC101929234",5,2,6,6,3,5,6,6,2,2
"5108","LOC101929237",4,3,2,2,3,4,1,5,4,6
"5109","CFAP20DC-AS1",0,0,0,0,0,0,0,0,1,1
"5110","PACRG-AS2",0,0,1,0,0,0,0,0,0,0
"5111","LOC101929240",105,104,94,168,196,179,121,98,104,133
"5112","LINC02325",0,0,0,0,0,0,0,0,0,0
"5113","ILRUN-AS1",154,136,130,157,167,163,184,168,219,248
"5114","CASC20",3,1,0,0,1,0,0,0,0,0
"5115","LINC01231",0,0,1,0,0,0,0,1,0,0
"5116","LOC101929248",14,9,9,16,21,21,17,8,12,20
"5117",NA,0,0,0,0,0,0,0,0,0,0
"5118","LOC101929255",1,5,1,4,3,8,3,6,0,6
"5119","LOC101929256",0,1,0,2,0,0,2,0,1,0
"5120","LOC101929258",0,2,3,3,1,0,0,0,0,0
"5121","LOC101929259",0,0,0,0,0,0,0,0,0,0
"5122","LINC01920",0,3,1,1,5,5,0,1,1,1
"5123","LINC02123",0,0,2,0,0,0,0,0,0,0
"5124","LINC01428",0,0,0,0,0,0,0,1,0,1
"5125","LOC101929268",1,0,0,0,1,0,0,1,0,0
"5126","LOC101929269",3,1,1,1,2,3,5,2,1,0
"5127","LOC101929270",20,29,25,14,23,13,24,28,18,19
"5128","DTNB-AS1",24,30,23,42,39,32,35,35,39,44
"5129","LOC101929278",0,0,1,2,0,1,0,0,1,0
"5130","LOC101929279",0,0,0,0,0,0,0,0,0,0
"5131",NA,15,15,13,12,13,9,15,8,9,6
"5132","LINC02612",0,0,0,1,1,0,0,0,0,0
"5133","LINC02199",0,0,0,0,0,0,0,0,1,1
"5134","LOC101929285",50,46,48,51,50,43,65,63,50,60
"5135","KCNMA1-AS3",1,0,0,0,2,0,0,1,1,0
"5136","LINC01751",0,0,0,0,0,0,0,0,0,0
"5137",NA,8,2,5,7,3,3,2,3,7,5
