"","SYMBOL","GSM2211605","GSM2211606","GSM2211607","GSM2211608","GSM2211609","GSM2211610","GSM2211611","GSM2211612","GSM2211613","GSM2211614"
"1","A1BG",144,161,103,129,107,120,135,96,104,97
"2","NAT2",0,2,1,5,3,4,0,2,0,3
"3","ADA",641,650,622,607,616,655,666,635,544,681
"4","CDH2",1349,1438,1309,891,988,916,1327,1410,971,1329
"5","AKT3",1794,1869,1686,1591,1727,1610,2570,2804,1932,2590
"6","GAGE12F",192,167,202,264,296,310,159,148,180,205
"7","RNA5-8SN5",30,30,41,19,67,29,27,24,32,33
"8","RNA18SN5",1664,1694,1878,1379,4249,1991,1478,1406,1470,1457
"9","RNA28SN5",3449,3821,4158,3198,10168,4703,3550,3014,4522,3601
"10","TRY-GTA7-1",0,1,0,0,0,0,1,0,0,0
"11","TRY-GTA5-4",1,0,0,0,0,1,1,0,0,1
"12","TRF-GAA2-1",0,0,0,0,0,0,0,0,0,0
"13","TRF-GAA1-4",0,0,0,0,0,0,0,0,0,0
"14","TRH-GTG1-6",0,0,0,0,0,0,0,0,0,0
"15","LINC02584",7,2,4,4,8,7,1,2,3,6
"16","POU5F1P5",0,0,1,0,0,2,0,0,0,0
"17","ZBTB11-AS1",165,152,123,189,222,193,111,120,144,166
"18","MED6",1044,1050,968,940,1027,912,1120,1146,920,1227
"19","NR2E3",3,2,2,2,4,2,1,0,2,0
"20","NAALAD2",191,249,196,112,76,81,560,682,209,288
"21","DUXB",1,0,0,4,0,3,0,1,1,2
"22","SNORD116-1",2,5,2,2,3,4,2,5,5,5
"23","SNORD116-2",3,0,1,3,2,3,0,4,2,1
"24","SNORD116-3",1,0,1,1,1,0,2,0,3,1
"25","SNORD116-4",18,12,12,14,17,14,10,16,12,18
"26","SNORD116-5",0,0,1,1,0,0,0,0,1,0
"27","SNORD116-6",1,2,2,6,4,5,2,4,6,4
"28","SNORD116-7",3,3,0,1,2,2,1,2,0,2
"29","SNORD116-8",0,1,1,3,0,0,1,1,0,1
"30","SNORD116-9",0,1,0,0,0,0,0,0,0,0
"31","SNORD116-10",0,0,0,0,0,1,0,0,0,0
"32","SNORD116-11",0,0,0,0,0,0,0,0,1,0
"33","SNORD116-12",2,2,2,3,2,4,0,1,2,3
"34","SNORD116-13",1,2,3,0,5,1,4,0,3,4
"35","SNORD116-14",2,4,0,3,3,4,6,4,2,2
"36","SNORD116-15",0,0,1,0,0,0,0,1,0,0
"37","SNORD116-16",0,0,1,0,1,0,0,0,0,0
"38","SNORD116-17",0,0,0,0,1,0,0,0,1,1
"39","SNORD116-18",1,0,1,1,0,0,1,0,2,2
"40","SNORD116-20",4,5,10,5,13,18,6,9,4,9
"41","SNORD116-21",13,12,19,15,17,13,15,19,11,17
"42","SNORD116-22",5,4,5,10,7,5,10,10,6,8
"43","SNORD116-23",2,5,5,3,3,1,3,0,3,1
"44","SNORD116-24",4,3,2,6,8,2,4,1,4,6
"45","SNORD116-25",1,0,0,0,0,0,0,0,0,0
"46","SNORD115-2",0,0,0,0,0,0,0,0,0,0
"47","SNORD116-26",0,1,0,0,1,0,0,0,0,2
"48","SNORD116-27",0,0,1,0,1,2,0,1,1,2
"49","SNORD115-3",0,0,0,0,0,0,0,0,0,0
"50","SNORD115-4",0,0,0,0,0,0,0,0,0,0
"51","SNORD115-5",0,0,0,0,0,0,0,0,0,0
"52","SNORD115-6",0,0,0,0,0,0,0,0,0,0
"53","SNORD115-7",0,0,0,0,0,0,0,0,0,0
"54","SNORD115-8",0,0,0,0,0,0,0,0,0,0
"55","SNORD115-9",0,0,0,0,0,0,0,0,0,0
"56","SNORD115-10",0,0,0,0,0,0,0,0,0,0
"57","SNORD115-11",0,0,0,0,0,0,0,0,0,0
"58","SNORD115-12",1,0,0,0,0,0,0,0,0,0
"59","SNORD115-13",0,0,0,0,0,0,0,0,0,0
"60","SNORD115-14",0,0,0,0,0,0,0,0,0,0
"61","SNORD115-15",0,0,0,0,0,0,0,0,0,0
"62","SNORD115-16",0,0,0,0,0,0,0,0,0,0
"63","SNORD115-17",0,0,0,0,0,0,0,0,0,0
"64","SNORD115-18",0,0,0,0,0,0,0,0,0,0
"65","SNORD115-19",0,0,0,0,0,0,0,0,0,0
"66","SNORD115-20",0,0,0,0,1,0,0,0,0,0
"67","SNORD115-21",0,0,0,0,0,0,0,0,0,0
"68","SNORD115-22",0,0,0,0,1,0,0,0,0,0
"69","SNORD115-23",0,0,0,0,0,0,0,0,0,0
"70","SNORD115-25",0,0,0,0,0,0,0,0,0,0
"71","SNORD115-26",0,0,0,0,1,0,0,0,0,0
"72","SNORD115-29",0,0,0,0,0,0,0,0,0,0
"73","SNORD115-30",0,0,0,0,0,0,0,0,0,0
"74","SNORD115-31",0,0,0,0,0,0,0,0,0,0
"75","SNORD115-32",0,0,0,0,0,0,0,0,0,0
"76","SNORD115-33",0,0,0,0,0,0,0,0,0,0
"77","SNORD115-34",0,0,0,0,0,0,0,0,0,0
"78","SNORD115-35",0,0,0,0,0,0,0,0,0,0
"79","SNORD115-36",0,0,0,0,0,0,0,0,0,0
"80","SNORD115-37",0,0,0,0,0,0,0,0,0,0
"81","SNORD115-38",0,0,0,0,0,0,0,0,0,0
"82","SNORD115-39",0,0,0,0,0,0,0,0,0,0
"83","SNORD115-40",0,0,0,0,0,0,0,0,0,0
"84","SNORD115-41",0,0,0,0,0,0,0,0,0,0
"85","SNORD115-42",0,0,0,0,0,0,0,0,0,0
"86","SNORD115-43",0,0,0,0,0,0,0,0,0,0
"87","SNORD115-44",0,0,0,0,0,0,0,0,0,0
"88","MIR675",3,5,1,1,1,0,2,2,2,1
"89","SNORD116-28",8,7,10,12,8,13,5,6,5,11
"90","SNORD116-29",2,0,1,0,2,0,0,0,0,0
"91","SNORD115-48",0,0,0,0,0,0,0,0,0,0
"92","PDZK1P1",20,28,23,24,38,27,23,24,29,25
"93","SNORD115-24",0,0,0,0,0,0,0,0,0,0
"94","SNORD115-27",0,0,0,0,0,0,0,0,0,0
"95","SNORD115-28",0,0,0,0,0,0,0,0,0,0
"96","SNORD115-45",0,0,0,0,0,0,0,0,0,0
"97","SNORD115-47",0,0,0,0,0,0,0,0,0,0
"98","DDTL",810,759,672,784,861,887,820,733,870,1060
"99","TLX1NB",2,1,1,5,8,5,5,2,1,9
"100","NAALADL1",5,3,7,6,1,3,8,3,8,7
"101","CDKN2B-AS1",0,2,2,7,8,5,4,4,0,4
"102","GUSBP17",58,60,57,71,66,78,71,74,68,89
"103","SIGLEC14",46,31,27,79,63,56,2,3,2,1
"104","TRK-TTT3-4",1,1,1,1,0,0,1,1,1,1
"105","TRV-CAC1-5",0,0,0,0,0,0,1,0,0,0
"106","NINJ2-AS1",230,231,210,323,345,373,179,215,201,269
"107","ACOT8",315,276,274,352,385,384,389,306,373,481
"108","ABI1",1361,1440,1239,1578,1635,1550,1953,2118,1648,2263
"109","GNPDA1",1697,1657,1604,1482,1600,1613,1951,1958,1495,2017
"110","MIMT1",10,16,9,4,4,6,19,24,12,13
"111","KCNE3",2,2,7,3,3,2,3,4,1,2
"112","ZBTB33",549,583,507,586,584,603,761,959,676,797
"113","SNHG8",517,500,442,647,699,759,421,416,564,760
"114","GTF2IP4",1426,1586,1356,1370,1537,1383,2006,2164,1528,2030
"115","GS1-600G8.3",0,0,0,0,0,0,0,0,0,0
"116","CDH3",4,4,1,0,6,3,1,4,2,6
"117","TANK",570,579,591,811,897,824,665,730,671,806
"118","TTTY21B",0,0,0,0,0,0,0,0,0,0
"119","TTTY1B",0,0,0,0,0,0,0,0,0,0
"120","TTTY2B",0,0,0,0,0,0,0,0,0,0
"121","TTTY8B",0,0,0,0,0,0,0,0,0,0
"122","TTTY7B",0,0,0,0,0,0,0,0,0,0
"123","TTTY23B",0,0,0,0,0,0,0,0,0,0
"124","LOC100101148",31,25,22,25,29,29,26,17,19,23
"125","HAVCR1P1",0,1,1,0,3,0,0,0,0,0
"126","POM121C",1904,1918,1624,2571,2631,2609,2055,1760,2292,3051
"127","PMS2P7",17,21,19,27,34,29,21,21,26,36
"128","ZSCAN30",99,117,104,99,117,111,109,106,73,98
"129","H2BW3P",13,14,13,11,8,12,21,21,13,20
"130","ANKRD26P3",4,1,4,11,14,11,8,16,10,22
"131","SRA1",411,437,417,634,681,709,389,328,390,548
"132","SNORD119",4,1,2,1,6,2,2,3,2,5
"133","SNORD121A",0,0,1,1,3,0,1,2,0,1
"134","SNORD125",11,12,8,12,10,15,10,10,17,21
"135","SNORD19B",14,15,14,21,24,20,15,16,19,27
"136","SNORD105B",0,0,0,0,1,0,0,0,1,0
"137","SNORD123",1,1,4,1,1,2,1,0,0,0
"138","UCKL1-AS1",76,68,57,64,68,58,67,51,80,104
"139","SNORD127",5,2,3,2,1,0,2,0,5,5
"140","SNORD126",0,0,0,0,0,1,0,0,1,0
"141","SNORD11B",1,0,0,0,1,1,1,2,2,3
"142","SNORD12B",11,10,9,5,11,15,7,12,4,22
"143","SNORD111B",0,0,0,0,0,0,0,0,0,0
"144","LIN28B-AS1",0,0,0,0,0,0,0,0,0,0
"145","LINC00583",0,0,0,0,0,0,0,0,0,0
"146","TMEM170B",339,443,336,196,198,188,419,537,269,353
"147","FAM138E",3,3,5,4,3,9,2,2,2,1
"148","SNORD58C",18,21,21,18,25,17,17,22,19,34
"149","SCARNA27",17,14,15,15,27,14,10,17,14,20
"150","SNORA84",1,1,2,2,1,1,1,2,3,2
"151","SNORA36C",0,0,0,0,0,0,0,0,0,0
"152","SNORA38B",0,2,1,2,3,1,1,2,4,1
"153","SNORA70B",0,0,0,0,0,0,0,0,0,0
"154","SNORA70C",0,0,0,0,0,0,0,0,0,0
"155","SNORA11B",0,0,0,0,0,1,0,0,0,0
"156","SNORA11C",0,0,0,0,0,0,0,0,0,0
"157","SNORA11D",3,6,6,6,6,4,7,5,7,5
"158","HOTAIR",108,129,97,65,72,89,192,187,97,133
"159","ZGLP1",62,53,50,68,70,81,41,24,45,73
"160","FAM86JP",95,117,111,140,155,172,117,105,104,188
"161","FMR1-AS1",1,4,1,1,5,4,3,6,3,6
"162","MIR298",1,2,2,2,3,0,2,0,1,1
"163","MIR300",0,0,0,0,0,0,0,0,0,0
"164","VTRNA2-1",0,0,1,0,0,0,0,0,1,0
"165","MIR509-2",0,0,0,0,0,0,0,0,0,0
"166","MIR450B",0,0,0,0,0,0,0,0,0,0
"167","MIR890",0,0,0,0,0,0,0,0,0,0
"168","MIR891B",0,0,0,0,0,0,0,0,0,0
"169","MIR888",0,0,0,0,0,0,0,0,0,0
"170","MIR892B",0,0,0,0,0,0,0,0,0,0
"171","MIR541",0,0,0,0,0,0,0,0,0,0
"172","MIR875",0,0,0,0,0,0,0,0,0,0
"173","MIR876",0,0,0,0,0,0,0,0,0,0
"174","MIR147B",2,0,0,1,0,1,1,1,2,1
"175","MIR744",0,0,0,0,0,0,0,0,0,0
"176","MIR877",1,1,1,2,2,1,3,2,1,2
"177","MIR665",0,0,0,0,0,0,0,0,0,0
"178","MIR873",0,0,0,0,0,0,0,0,0,0
"179","MIR374B",4,0,4,4,1,3,1,1,1,1
"180","MIR301B",0,0,0,0,0,0,0,0,0,0
"181","MIR216B",0,0,0,0,0,0,0,0,0,0
"182","MIR920",0,0,0,0,0,0,0,0,0,0
"183","MIR922",12,8,9,9,12,14,10,16,12,14
"184","MIR924",0,0,0,0,0,0,0,0,0,0
"185","MIR934",0,0,0,0,0,0,0,0,0,0
"186","MIR935",4,2,2,2,2,2,1,0,0,1
"187","MIR936",2,2,4,5,5,3,1,2,0,1
"188","MIR938",0,0,0,1,0,0,0,0,0,0
"189","MIR940",1,2,2,1,0,1,0,1,1,0
"190","MIR941-1",1,0,0,0,0,1,1,0,1,1
"191","MIR941-4",0,0,0,0,0,1,0,0,0,1
"192","MIR942",0,0,0,0,0,1,1,1,2,0
"193","MIR943",26,15,14,14,21,18,21,9,14,25
"194","MIR708",1,0,0,0,1,1,1,1,0,0
"195","MIR885",0,0,0,0,0,0,0,0,0,0
"196","MIR543",0,0,0,0,0,0,0,0,0,0
"197","MIR208B",0,0,1,0,0,0,0,0,0,0
"198","MIR509-3",0,0,0,0,0,0,0,0,0,0
"199","MIR937",76,62,48,55,68,66,68,51,63,62
"200","MIR941-2",0,0,0,0,0,1,0,0,0,0
"201","MIR944",0,0,0,0,0,0,0,0,0,0
"202","MIR891A",0,0,0,0,0,0,0,0,0,0
"203","MIR892A",0,0,0,0,0,0,0,0,0,0
"204","MIR874",0,0,0,0,0,0,0,0,1,0
"205","MIR889",0,0,0,0,0,0,0,0,0,0
"206","MIR190B",0,0,0,0,0,0,0,0,0,0
"207","MIR887",1,1,0,1,1,0,0,1,2,1
"208","MIR760",0,1,0,0,0,0,0,0,0,0
"209","MIR921",0,0,1,1,0,0,0,2,0,0
"210","MIR933",0,1,2,0,3,0,0,0,0,0
"211","MIR939",64,49,44,68,59,60,73,52,72,87
"212","MIR941-3",0,0,1,1,1,1,0,0,0,0
"213","MIR297",0,0,0,0,0,0,0,0,0,0
"214","MIR365A",0,1,0,1,0,0,0,0,0,0
"215","MIR365B",0,0,0,0,0,0,0,0,0,0
"216","LOC100126447",0,1,0,0,0,0,0,0,0,0
"217","GJE1",0,0,0,0,0,0,0,0,0,0
"218","LOC100126584",0,0,0,0,0,0,0,0,0,0
"219","LINC00322",1,3,1,2,4,4,0,2,0,1
"220","SNAR-G1",0,0,0,0,0,0,1,0,0,1
"221","SNAR-F",0,0,0,0,0,0,0,0,0,0
"222","NAV2-AS6",88,71,83,108,108,93,49,55,52,71
"223","EGOT",7,4,5,3,1,4,4,3,1,3
"224","GHRLOS",51,40,47,44,37,33,43,46,43,52
"225","SNAR-A1",0,0,0,0,0,0,0,0,0,0
"226","SNAR-A2",0,0,0,0,0,0,0,0,0,0
"227","SNAR-A12",0,0,0,0,0,0,0,0,0,0
"228","MINAR2",0,0,0,0,0,0,1,0,0,0
"229","SLCO4A1-AS1",57,46,56,59,58,75,32,34,77,112
"230","HECW1-IT1",0,0,1,0,1,1,0,0,0,0
"231","LOC100127955",17,10,10,28,17,19,12,7,13,12
"232","KRT73-AS1",1,0,2,2,2,3,0,0,0,0
"233","C8orf88",401,455,402,411,447,457,800,843,648,849
"234","LOC100128002",6,3,2,14,9,13,0,2,10,18
"235","ARHGAP44-AS1",1,4,1,0,0,0,14,11,3,2
"236","DPPA2P3",1,0,1,1,1,0,0,0,0,0
"237","WWTR1-AS1",8,2,5,10,7,16,4,5,6,8
"238","PLCE1-AS1",20,25,16,13,18,13,51,56,27,47
"239","SMARCA5-AS1",141,132,115,116,124,127,136,128,153,180
"240","LOC100128059",1,3,5,0,2,4,1,1,0,2
"241","FAM229A",48,63,44,60,53,88,47,38,57,54
"242","LOC100128076",21,9,25,28,27,20,4,4,4,2
"243","LOC100128079",14,20,16,17,30,22,19,16,23,16
"244","JAZF1-AS1",11,10,5,7,7,12,11,14,11,17
"245","ST8SIA6-AS1",0,0,0,0,0,0,1,0,0,0
"246","UBE2Q2P13",61,61,42,53,72,50,71,62,43,85
"247","HGC6.3",0,1,0,1,0,0,0,0,1,0
"248","STAU2-AS1",4,3,2,7,4,2,5,4,3,4
"249","ADGRA1-AS1",0,0,0,0,0,0,0,0,0,0
"250","LINC01233",0,0,0,0,0,0,0,0,0,0
"251","LOC100128164",5,4,6,1,2,6,6,3,3,9
"252","UST-AS1",4,3,6,5,4,5,3,5,3,5
"253","TMPO-AS1",371,395,333,260,274,270,412,391,395,518
"254","LINC02324",3,0,0,0,0,1,0,0,1,0
"255","LINC02731",2,3,3,5,7,7,8,1,0,11
"256","ZNF667-AS1",258,211,222,181,226,211,309,308,211,278
"257","LOC100128253",22,20,15,27,43,32,3,4,7,5
"258","WASIR1",11,9,5,20,16,22,9,8,19,25
"259","TNK2-AS1",21,16,11,6,13,9,31,27,17,15
"260","HTR5A-AS1",0,1,0,2,1,1,0,0,0,1
"261","LOC100128276",0,1,0,0,0,1,1,2,1,0
"262","DNM1P35",10,12,7,12,16,12,11,27,9,21
"263","LOC100128288",41,53,47,51,45,47,113,115,44,76
"264","DLG5-AS1",36,44,40,41,42,58,79,70,70,81
"265","LOC100128310",1,0,0,0,1,0,0,0,0,0
"266","LOC100128317",1,0,0,0,0,0,0,0,0,1
"267","LINC03008",2,0,0,0,0,0,0,0,0,0
"268","TRAPPC3L",0,0,0,0,0,0,1,0,0,0
"269",NA,41,55,42,78,112,93,26,30,42,51
"270","LOC100128340",4,3,4,9,4,7,3,5,5,7
"271","LOC100128361",65,57,62,70,68,66,70,59,75,74
"272","LINC00696",3,2,4,2,0,1,2,2,3,6
"273","FAM225B",570,552,555,254,294,293,583,456,315,362
"274","ARHGAP42-AS1",5,9,6,13,9,11,12,11,12,9
"275","LOC100128398",33,37,33,35,45,38,51,62,47,67
"276","LINC00892",0,0,0,0,0,0,0,0,0,0
"277","LOC100128494",1170,1175,1056,1156,1165,1217,1496,1276,1506,1801
"278","SCP2D1-AS1",0,1,1,0,0,0,1,3,0,2
"279","ASTN2-AS1",0,0,1,0,0,0,0,0,0,0
"280","NEBL-AS1",2,1,0,2,2,2,4,1,2,6
"281","KIAA1671-AS1",84,72,53,71,79,76,58,48,45,51
"282","MIR29B2CHG",6,6,6,5,5,13,11,7,15,14
"283","CTAGE4",8,9,7,8,10,8,8,9,6,7
"284","LINC02347",0,0,0,0,0,0,0,0,0,0
"285","MYHAS",175,150,153,224,264,252,315,266,385,542
"286","RANBP3-DT",8,6,5,5,8,5,6,7,8,6
"287","TEKTIP1",124,109,119,92,88,84,91,65,79,95
"288","SLC8A1-AS1",1,1,3,3,3,0,3,1,1,1
"289","LOC100128593",0,0,0,0,0,0,0,0,0,0
"290","TMSB15B-AS1",16,20,19,10,19,16,16,15,12,17
"291","CDC42P3",0,0,0,0,1,1,0,1,2,0
"292","ACVR2B-AS1",47,37,42,40,37,43,63,69,55,72
"293","LOC100128653",168,149,125,163,201,157,134,104,163,222
"294","HPN-AS1",2,4,1,3,4,2,0,1,0,2
"295","LINC01531",0,0,0,1,1,2,0,1,2,0
"296","GPR50-AS1",0,2,0,0,0,0,0,0,2,0
"297","LINC02346",0,2,2,0,0,0,0,0,0,0
"298","OST4",1335,1266,1407,1380,1559,1679,1680,1472,1485,1971
"299","RBPMS-AS1",6,5,7,11,10,12,11,7,6,9
"300","LOC100128770",3,6,5,5,5,6,2,5,2,2
"301","ERCC6L2-AS1",267,253,269,262,311,308,260,257,213,242
"302","LINC01349",2,0,0,0,0,0,0,0,0,0
"303","SRRM2-AS1",10,13,17,12,18,12,12,10,7,13
"304","GPR158-AS1",2,1,2,3,2,5,1,1,1,1
"305",NA,1,3,1,2,2,2,1,2,1,1
"306","LINC01003",38,40,26,28,37,54,35,46,34,36
"307","VPS9D1-AS1",71,68,64,59,65,68,64,52,44,60
"308","ZFPM1-AS1",3,2,6,5,11,4,4,4,3,4
"309","LOC100128885",0,0,0,0,0,0,0,0,0,1
"310","FAM66B",24,26,26,27,30,33,23,32,31,33
"311","GATA6-AS1",5,2,5,6,5,7,6,8,8,8
"312","LINC01960",2,2,6,2,0,1,1,0,0,0
"313","CIROP",1,2,1,2,2,1,2,3,1,0
"314","ZBTB42",114,87,72,69,73,73,156,121,109,104
"315","LINC01310",25,21,18,8,4,10,18,18,13,10
"316","LOC100128966",1,7,5,1,5,3,6,8,3,5
"317","MAPT-AS1",0,0,0,0,0,0,0,0,0,0
"318","LOC100128988",7,3,3,2,5,1,7,11,3,6
"319","LOC100128993",4,2,2,9,6,9,4,1,2,7
"320","C20orf181",0,0,0,0,0,0,0,0,0,0
"321","PCBP3-AS1",0,0,0,1,0,0,0,0,1,0
"322","PKP4-AS1",97,105,96,73,93,88,117,110,110,141
"323","LOC100129034",1723,1687,1733,1392,1585,1620,1831,1602,1449,1869
"324","BCAR3-AS1",46,44,48,45,48,43,42,36,41,56
"325","CCNYL4",1,2,4,2,1,2,0,2,1,3
"326","SEMA3F-AS1",179,170,160,191,192,184,183,154,174,195
"327","LOC100129066",0,0,0,0,0,0,0,0,0,2
"328","KTN1-AS1",75,73,61,59,61,63,92,92,81,108
"329","SIGLEC10-AS1",27,34,22,17,20,20,33,25,33,33
"330","BTNL10P",3,2,3,0,1,1,2,2,0,2
"331","LOC100129098",4,5,3,3,8,3,5,3,1,2
"332","KHDC1L",18,11,15,20,17,26,12,8,16,24
"333","TDH-AS1",0,0,0,0,0,1,0,0,0,0
"334","LOC100129138",0,0,2,0,0,0,0,0,1,0
"335","LOC100129148",92,97,90,104,100,124,109,97,104,150
"336","LOC100129175",0,1,1,0,0,1,2,0,1,0
"337","ZSCAN16-AS1",97,87,89,57,72,74,86,64,69,80
"338","MATN1-AS1",20,18,22,55,63,46,23,15,27,41
"339","LOC100129203",20,22,16,20,26,18,58,42,26,25
"340","SLC39A12-AS1",1,0,1,2,1,1,1,0,2,2
"341","LOC100129215",34,40,31,50,62,48,31,36,35,53
"342","DEFB131B",7,10,10,5,8,9,22,16,7,9
"343","THCAT155",1,0,1,1,0,1,2,1,1,1
"344","CXorf51A",0,0,0,0,1,1,0,0,0,0
"345","SMIM27",114,129,95,116,115,143,106,118,129,170
"346","LINC01160",0,1,4,1,0,4,2,2,1,2
"347","C1orf68",0,0,0,0,0,0,0,0,0,0
"348","TDRD15",7,12,21,20,13,12,37,47,21,31
"349","LOC100129291",0,2,0,3,1,1,40,40,55,84
"350","CD200R1L-AS1",0,0,0,0,0,0,0,0,0,0
"351","LOC100129307",0,0,0,0,0,0,0,0,0,0
"352","LOC100129316",3,4,2,5,6,3,5,7,9,7
"353","LINC02291",0,0,0,0,0,0,0,0,0,0
"354","LINC00484",2,2,1,1,1,2,1,2,2,3
"355","NRADDP",7,4,6,8,8,6,4,6,5,8
"356","SMIM10L1",969,1047,978,967,1146,1037,1152,1273,890,1246
"357","LINC03041",0,1,0,0,0,0,1,4,1,1
"358","GABPB1-AS1",211,200,170,178,193,186,184,187,140,168
"359","FAM106C",14,13,15,21,21,20,29,34,25,54
"360","MSTO2P",404,383,355,469,531,440,399,374,437,550
"361","FAM236A",0,0,0,1,0,1,0,0,0,0
"362","RPL19P12",7,12,12,11,12,6,6,9,6,8
"363","DDC-AS1",0,1,0,0,0,1,0,0,1,0
"364","LOC100129434",44,40,34,29,16,21,16,22,9,24
"365","LOC100129455",20,28,12,18,11,12,37,27,19,32
"366","DPY19L1P1",75,80,63,84,79,87,97,111,99,108
"367","LYRM4-AS1",37,44,41,38,42,36,34,33,34,47
"368","LINC01546",10,8,4,6,2,4,2,4,4,8
"369","MKRN2OS",19,23,34,29,27,30,28,23,28,42
"370","ZNF37BP",485,473,454,590,601,567,776,862,669,848
"371","LINC02983",6,4,3,3,11,3,6,7,8,7
"372",NA,52,49,38,38,38,39,29,29,31,38
"373","ETDB",0,1,1,2,0,0,0,0,1,0
"374","LINC02012",23,26,23,13,12,24,31,34,25,25
"375","SOD2-OT1",32,31,28,19,24,22,36,30,27,23
"376","TEX13C",3,3,2,9,14,11,12,6,14,25
"377","MUC8",1,0,0,3,3,0,0,8,3,3
"378","LOC100129534",34,32,29,42,42,40,58,47,51,42
"379","LOC100129540",142,129,147,159,154,183,120,103,94,132
"380","ZNF730",29,33,36,20,24,25,87,87,46,101
"381","LINC02035",41,40,42,69,74,64,62,60,67,80
"382","FAM47E",15,19,19,18,18,18,28,27,17,17
"383","LINC00462",0,0,0,0,0,1,0,0,0,0
"384","LOC100129603",1,3,1,4,2,0,5,1,1,1
"385","LOC100129617",11,8,13,5,6,13,7,8,4,14
"386","PLPPR5-AS1",1,2,2,1,1,2,2,1,2,1
"387","OR2W1-AS1",1,0,0,0,6,1,0,0,2,2
"388","TCF24",4,1,4,3,1,2,3,1,2,4
"389","FGF13-AS1",7,2,8,2,3,4,7,11,2,4
"390","IZUMO3",0,0,0,0,0,0,0,0,0,1
"391","LOC100129697",0,0,0,0,0,0,0,0,0,0
"392","ARRDC3-AS1",16,20,11,30,24,29,12,13,15,11
"393","STPG3-AS1",17,21,15,9,15,5,13,9,4,10
"394","MAPRE3-AS1",3,1,1,1,4,2,1,2,2,6
"395","LINC01126",25,20,19,15,11,14,22,16,21,20
"396","MIR193BHG",19,15,15,7,4,6,20,28,10,16
"397","CCDC152",522,608,556,604,679,637,894,1054,778,1054
"398","SLC25A21-AS1",19,32,20,36,48,55,29,22,32,35
"399","ZNF807P",11,22,8,26,18,19,24,26,19,12
"400","IRAG1-AS1",0,1,1,1,1,3,2,0,1,0
"401","COL4A2-AS2",144,139,106,147,149,166,102,89,138,138
"402","ZNF737",0,0,0,0,1,0,0,1,0,0
"403","PCOLCE-AS1",67,72,48,26,31,30,66,43,33,35
"404","SCOC-AS1",13,8,18,28,27,34,13,20,11,17
"405","DYM-AS1",1,0,2,1,3,0,0,2,4,1
"406","PCGF3-AS1",120,114,105,107,129,111,126,115,81,120
"407","TMEM269",26,31,26,33,33,27,24,28,30,25
"408","LOC100129931",369,346,340,395,422,404,432,372,438,579
"409","LOC100129935",0,0,0,0,0,0,0,0,0,0
"410","HMGA2-AS1",23,34,23,43,64,61,26,32,30,54
"411","CCNT2-AS1",42,36,34,32,54,37,52,36,42,49
"412","FAM205C",0,2,0,1,3,1,3,1,3,7
"413","CERNA1",8,18,5,18,18,19,5,8,14,19
"414","LINC01460",17,11,17,9,24,16,8,7,3,10
"415","HDAC6",1437,1367,1234,1345,1420,1376,1841,1536,1440,1845
"416","URAHP",196,203,186,255,233,257,163,125,171,205
"417","FTLP10",0,0,0,0,0,0,0,0,0,0
"418","LOC100130027",336,291,266,425,418,461,524,476,641,763
"419","LOC100130075",1,1,0,1,3,0,1,1,0,0
"420","HSFX2",10,12,12,9,6,12,20,20,13,13
"421","LOC100130111",5,9,3,4,2,7,2,1,0,2
"422","MAPT-IT1",1,0,0,0,0,0,2,0,2,1
"423","MIR124-2HG",0,0,0,0,0,0,0,0,1,2
"424","FAM13B-AS1",22,19,20,29,22,33,20,13,30,38
"425","EFCAB14-AS1",41,39,38,61,52,68,49,55,46,63
"426","LOC100130207",13,12,11,13,15,12,21,11,20,14
"427","LINC00861",10,11,24,12,8,14,2,5,5,9
"428","LOC100130238",30,42,31,30,30,27,39,56,30,41
"429","LINC02961",2,5,2,2,5,3,2,4,6,4
"430","LOC100130256",5,5,3,1,8,3,2,12,2,3
"431","SLC24A3-AS1",0,0,1,2,0,0,0,0,0,0
"432","LOC100130268",0,0,0,0,0,0,0,0,0,1
"433","CCDC166",0,0,0,0,1,0,1,3,4,1
"434","TFAP2A-AS1",0,0,0,1,0,0,0,0,0,0
"435","LOC100130283",310,307,286,244,254,277,343,333,365,436
"436","LOC100130298",1,0,1,3,3,1,3,0,2,2
"437","C8orf89",1,2,3,0,1,2,0,2,1,0
"438","SUPT20HL1",0,0,0,0,0,0,0,0,0,1
"439","C17orf107",10,12,13,25,26,19,15,9,12,14
"440","LOC100130331",1,2,2,1,1,1,1,1,3,1
"441","SCGB2B3P",0,0,2,1,0,0,0,0,1,0
"442","LOC100130345",8,2,4,16,10,15,11,11,12,12
"443","TMEM262",5,5,6,4,6,4,6,3,7,6
"444","LOC100130357",50,51,53,79,78,83,48,46,67,105
"445","CXorf49",0,0,0,0,1,0,0,1,1,1
"446","LINC03048",0,1,2,1,2,2,0,3,0,1
"447","EPB41L1-AS1",0,0,1,1,1,0,1,1,2,1
"448","LINC00552",21,17,22,32,45,46,34,35,72,68
"449","LINC02593",67,94,59,45,31,43,123,108,64,87
"450","CECR7",247,250,247,308,364,324,244,230,248,358
"451","GPC1-AS1",7,6,3,11,11,5,3,7,0,1
"452","SPAG16-DT",1,2,2,1,7,2,2,1,1,1
"453","LOC100130452",1,1,1,2,2,1,1,0,0,2
