"","SYMBOL","GSM3535477","GSM3535478","GSM3535479","GSM3535480","GSM3535481","GSM3535482"
"16645","LOC107987299",1,1,3,2,1,4
"16646","LOC107987300",11,8,14,2,4,6
"16647",NA,0,0,0,1,0,0
"16648",NA,0,1,1,1,1,1
"16649","LOC107987303",0,0,0,0,0,0
"16650",NA,6,1,3,2,3,2
"16651",NA,3,4,2,3,4,1
"16652",NA,5,5,3,6,4,3
"16653","LOC107987323",2,6,3,13,13,11
"16654",NA,0,0,1,0,1,0
"16655","LOC107987325",0,0,1,0,0,0
"16656",NA,43,58,52,21,35,22
"16657","FAM239C",3,1,1,15,21,9
"16658","LOC107987331",0,0,0,0,0,0
"16659","LOC107987334",0,0,0,0,0,0
"16660","ZFY-AS1",25,16,22,17,13,11
"16661","LOC107987338",0,0,0,0,0,0
"16662","LOC107987339",0,0,0,0,0,0
"16663","LOC107987340",0,0,0,0,0,0
"16664","FAM197Y3",0,0,0,0,0,0
"16665","LOC107987342",0,0,0,0,0,0
"16666","LOC107987343",1,1,2,2,1,1
"16667",NA,2,1,2,0,4,1
"16668","LOC107987346",0,0,0,0,0,0
"16669","LOC107987347",14,30,14,37,21,15
"16670","LOC107987348",0,0,1,0,1,0
"16671","LOC107987349",0,0,0,0,0,0
"16672","LOC107987350",0,0,0,0,1,0
"16673","LOC107987352",0,0,0,0,0,0
"16674","LOC107987353",0,0,0,0,0,0
"16675","LOC107987354",0,0,0,0,0,0
"16676","LOC107987355",0,0,0,0,0,0
"16677","LOC107987356",0,0,0,0,0,0
"16678","LOC107987357",0,0,0,0,0,0
"16679","LOC107987359",0,0,0,0,0,0
"16680",NA,29,31,38,78,135,69
"16681",NA,4,9,8,27,35,14
"16682",NA,0,1,0,0,0,0
"16683",NA,2,4,6,8,12,10
"16684","LOC107987365",9,8,11,32,31,19
"16685","LOC107987366",40,43,44,57,92,49
"16686","TRN-GTT26-1",5,2,8,8,4,1
"16687","TRNAE-UUC",0,0,1,1,1,1
"16688","LOC107987370",0,0,0,0,0,0
"16689","LOC107987372",6,8,7,5,9,3
"16690",NA,945,699,794,1079,931,626
"16691",NA,6,8,10,17,15,6
"16692",NA,1,1,3,4,2,2
"16693",NA,0,0,0,0,0,0
"16694","LOC107987381",0,0,0,0,0,0
"16695","LOC107987382",0,0,0,0,0,0
"16696","LOC107987384",0,0,0,0,1,0
"16697","LOC107987386",0,0,0,0,0,0
"16698",NA,11,16,12,17,17,9
"16699","LOC107987389",0,0,0,0,0,0
"16700",NA,0,0,0,0,0,0
"16701","LOC107987392",11,11,7,10,11,4
"16702","LOC107987393",2,3,1,2,4,1
"16703","LOC107987394",3,3,3,3,4,1
"16704",NA,81,74,93,72,60,45
"16705",NA,19,19,27,12,16,8
"16706","LOC107987401",75,73,99,220,375,194
"16707","TRL-CAA1-1",0,0,0,0,0,0
"16708","RPP40",488,487,536,504,496,331
"16709","ADCY2",1,0,0,1,2,0
"16710","CFTR",15,33,32,19,43,13
"16711","CYSLTR1",0,0,0,0,0,0
"16712","SEPTIN9",5323,5034,4677,13828,12995,7257
"16713","SEC24A",1323,1041,1122,1045,1301,787
"16714","CCR9",2,3,2,0,0,0
"16715","GJB6",1,0,0,0,0,1
"16716","SDCCAG8",1136,1189,1228,822,874,609
"16717","ENTR1",3263,3245,3037,3466,3335,2093
"16718","HSPH1",4709,5150,4349,4038,5381,2844
"16719","STARD10",273,232,304,830,930,432
"16720","CGA",0,0,0,0,0,0
"16721","WASF3",6,6,5,7,7,1
"16722","NOXA1",11,25,26,20,26,16
"16723","UTP14A",2037,1708,1836,1990,2161,1205
"16724","CPLX2",0,0,1,0,0,3
"16725","CPLX1",237,210,196,326,312,213
"16726","SPINT3",0,0,0,0,0,0
"16727","FRS3",155,163,158,238,316,164
"16728","FRS2",967,1035,1054,1457,2130,1239
"16729","OR7E14P",2,1,2,1,1,0
"16730","CGB3",1,1,2,7,10,3
"16731","OR7E12P",4,6,5,7,8,5
"16732","DIAPH2-AS1",0,0,1,0,0,0
"16733","NEU3",478,545,529,1039,1354,589
"16734","FAXDC2",1158,809,1017,1067,915,571
"16735","FAM114A2",1006,882,993,737,880,495
"16736","ZNF275",746,761,823,964,1398,649
"16737","CEACAM3",133,85,125,72,82,57
"16738","ALDH1L1",1,3,5,13,15,11
"16739","FTCD",27,25,28,52,17,38
"16740","PPP1R17",0,0,0,0,0,0
"16741","TUBGCP2",3984,3167,3728,4252,4281,2555
"16742","CLPX",3666,3110,3571,2654,2778,1751
"16743","PDE10A",31,36,36,29,39,32
"16744","SRCAP",6438,5129,5956,5255,6124,3455
"16745","PPP1R13L",156,165,195,179,302,133
"16746","POLR1G",943,915,958,1255,1486,768
"16747","CCL27",4,2,3,0,6,1
"16748","HPSE",19,7,18,18,19,19
"16749","RUVBL2",4852,3122,4094,3471,3505,2053
"16750","PGRMC1",2539,1760,2677,1362,1408,948
"16751","LINP1",0,0,0,0,0,0
"16752","CYP46A1",9,10,4,7,6,2
"16753","LILRB1",0,1,0,1,0,0
"16754","SLC26A1",284,378,307,582,766,437
"16755","ADAM28",0,0,0,0,0,0
"16756","SLC22A7",0,0,0,1,2,0
"16757","ARID5A",149,95,151,128,67,56
"16758","HCP5",7,1,0,4,7,2
"16759","TSPAN9",524,563,553,1065,1271,545
"16760","USP20",702,792,720,740,847,509
"16761","USP19",2492,2240,2144,2736,3317,1697
"16762","CEACAM7",0,0,0,0,0,0
"16763","HCST",21,24,23,24,17,10
"16764","CD300C",1,0,3,6,2,6
"16765","ME3",1728,1722,2103,2178,2230,1704
"16766","NMU",0,1,0,0,3,0
"16767","FGL2",3,1,0,3,3,1
"16768","EDDM3A",3,4,2,1,3,4
"16769","CFHR4",0,0,0,0,0,0
"16770","CFHR3",0,0,0,0,0,0
"16771","HFE-AS1",35,27,33,33,39,14
"16772","DINOL",13,5,11,58,79,34
"16773","HSD17B1-AS1",1367,1315,1370,2292,2276,1247
"16774","SMR3B",0,0,0,0,1,0
"16775","CEACAM8",126,92,118,83,84,52
"16776","ACTL7B",0,0,0,0,0,0
"16777","ACTL7A",1,0,0,0,0,0
"16778","C1QL1",20,9,20,31,55,26
"16779","MRPS30",8846,6733,7306,6765,6929,4587
"16780","WDR3",3011,2739,2969,2495,2939,1723
"16781","NPFFR2",720,225,633,105,124,98
"16782","GSC-DT",0,0,0,0,0,0
"16783","PROKR1",0,2,0,2,0,0
"16784","GPR83",3,1,1,0,3,0
"16785","CEACAM4",0,0,0,0,0,0
"16786","RAB10",7055,6081,6536,5613,5782,3590
"16787","ZNF8-ERVK3-1",915,768,810,823,833,468
"16788","PPARGC1A",3,2,0,0,1,2
"16789","MALT1",323,430,381,162,330,142
"16790","MMP24",204,159,210,448,348,229
"16791","LYVE1",1,0,0,0,5,0
"16792","ACBD7-DCLRE1CP1",6,8,7,1,2,1
"16793","PPBPP2",0,0,0,0,0,0
"16794","YIF1A",4148,2920,3842,3801,3190,2066
"16795","CPSF4",2810,1707,2948,4806,3897,2956
"16796","JTB",3185,2417,3042,1997,1964,1174
"16797","ADCY3",2680,2986,2472,2026,2696,1308
"16798","RUNDC3A",107,168,125,227,243,120
"16799","DHRS4",371,375,330,501,548,271
"16800","BRD8",2849,2287,2857,2442,2907,1496
"16801","MTMR11",1546,1758,1535,1057,1164,762
"16802","BLCAP",1448,1438,1437,4107,5137,2374
"16803","MAN1A2",1379,1576,1608,897,1577,868
"16804","TRAFD1",915,768,865,884,819,464
"16805","TXNL4A",3242,2270,2929,3286,2983,1803
"16806","PNPLA6",5425,5459,5162,6403,6294,4032
"16807","SUGT1",3521,2825,2893,3001,2886,1735
"16808","UTS2",3,1,3,3,0,1
"16809","GADD45G",43,24,47,33,22,21
"16810","EDAR",32,137,43,12,25,9
"16811","MASCRNA",3,3,8,5,3,4
"16812","TALAM1",4165,7332,8768,9338,9524,7016
"16813","PAPOLA",7662,6402,7668,5667,7185,3973
"16814","TCERG1",3606,3273,4265,2931,3746,2422
