"","SYMBOL","GSM2298375","GSM2298377","GSM2298378","GSM2298379","GSM2298380","GSM2298381","GSM2298382"
"59","SNORD115-13",0,0,0,0,0,0,0
"60","SNORD115-14",0,0,0,0,0,0,0
"61","SNORD115-15",0,0,0,0,0,0,0
"62","SNORD115-16",0,0,0,0,0,0,0
"63","SNORD115-17",0,0,0,0,0,0,0
"64","SNORD115-18",0,0,0,0,0,0,0
"65","SNORD115-19",0,0,0,0,0,0,0
"66","SNORD115-20",0,0,0,0,0,0,0
"67","SNORD115-21",0,0,0,0,0,0,0
"68","SNORD115-22",0,0,0,0,0,0,0
"69","SNORD115-23",0,0,0,0,0,0,0
"70","SNORD115-25",0,0,0,0,0,0,0
"71","SNORD115-26",0,0,0,0,0,0,0
"72","SNORD115-29",0,0,0,0,0,0,0
"73","SNORD115-30",0,0,0,0,0,0,0
"74","SNORD115-31",0,0,0,0,0,0,0
"75","SNORD115-32",0,0,0,0,0,0,0
"76","SNORD115-33",0,0,0,0,0,0,0
"77","SNORD115-34",0,0,0,0,0,0,0
"78","SNORD115-35",0,0,0,0,0,0,0
"79","SNORD115-36",0,0,0,0,0,0,0
"80","SNORD115-37",0,0,0,0,0,0,0
"81","SNORD115-38",0,0,0,0,0,0,0
"82","SNORD115-39",0,0,0,0,0,0,0
"83","SNORD115-40",0,0,0,0,0,0,0
"84","SNORD115-41",0,0,0,0,0,0,0
"85","SNORD115-42",0,0,0,0,0,0,0
"86","SNORD115-43",0,0,0,0,0,0,0
"87","SNORD115-44",0,0,0,0,0,0,0
"88","MIR675",1,2,65,117,127,111,0
"89","SNORD116-28",0,0,0,0,0,0,0
"90","SNORD116-29",0,0,0,0,0,0,0
"91","SNORD115-48",0,0,0,0,0,0,0
"92","PDZK1P1",3,4,70,148,121,202,5
"93","SNORD115-24",0,0,0,0,0,0,0
"94","SNORD115-27",0,0,0,0,0,0,0
"95","SNORD115-28",0,0,0,0,0,0,0
"96","SNORD115-45",0,0,0,0,0,0,0
"97","SNORD115-47",0,0,0,0,0,0,0
"98","DDTL",2819,2822,1807,1545,2869,2082,1043
"99","TLX1NB",0,2,4,8,40,20,0
"100","NAALADL1",3,1,73,20,14,20,33
"101","CDKN2B-AS1",58,45,82,50,99,56,25
"102","GUSBP17",18,23,27,11,36,16,5
"103","SIGLEC14",0,3,0,0,12,3,0
"104","TRK-TTT3-4",0,1,0,0,1,1,0
"105","TRV-CAC1-5",1,0,0,0,0,0,0
"106","NINJ2-AS1",23,43,67,50,175,119,24
"107","ACOT8",780,868,1780,1658,3705,3174,1439
"108","ABI1",1493,1641,1386,1174,2736,2033,1571
"109","GNPDA1",4875,5815,1723,1831,3995,3023,3135
"110","MIMT1",0,0,0,0,0,0,0
"111","KCNE3",0,0,0,0,0,0,0
"112","ZBTB33",478,546,631,596,928,921,338
"113","SNHG8",1577,3474,1584,982,2096,1317,439
"114","GTF2IP4",1253,1580,3358,2044,6448,3425,1919
"115","GS1-600G8.3",0,0,0,0,0,0,0
"116","CDH3",3005,3318,2831,1925,6414,3470,40
"117","TANK",1512,2298,1193,453,2046,812,1379
"118","TTTY21B",0,0,0,0,0,0,0
"119","TTTY1B",0,0,0,0,0,0,0
"120","TTTY2B",0,0,0,1,0,0,0
"121","TTTY8B",0,0,0,0,0,0,0
"122","TTTY7B",0,0,0,0,0,0,0
"123","TTTY23B",0,0,0,0,0,0,0
"124","LOC100101148",7,3,0,3,5,5,8
"125","HAVCR1P1",0,0,6,19,16,19,6
"126","POM121C",2948,3129,1814,2753,3553,3432,3005
"127","PMS2P7",64,113,54,75,109,99,18
"128","ZSCAN30",63,122,38,25,93,34,148
"129","H2BW3P",1,1,12,16,33,23,34
"130","ANKRD26P3",0,0,0,0,0,0,0
"131","SRA1",4629,6935,3029,3652,6157,6294,6706
"132","SNORD119",0,0,0,0,0,0,0
"133","SNORD121A",0,0,0,0,0,0,0
"134","SNORD125",22,12,6,11,13,7,3
"135","SNORD19B",0,2,2,3,0,0,1
"136","SNORD105B",0,1,0,0,0,0,0
"137","SNORD123",0,0,0,0,0,0,2
"138","UCKL1-AS1",49,42,150,140,136,136,127
"139","SNORD127",0,0,0,1,0,0,0
"140","SNORD126",0,0,0,0,0,0,0
"141","SNORD11B",0,0,0,0,0,0,0
"142","SNORD12B",6,0,0,0,1,1,0
"143","SNORD111B",0,0,0,0,0,0,0
"144","LIN28B-AS1",0,0,0,0,0,0,0
"145","LINC00583",0,0,0,0,0,0,0
"146","TMEM170B",43,20,315,121,256,184,34
"147","FAM138E",0,0,0,0,0,0,5
"148","SNORD58C",6,1,6,1,0,0,0
"149","SCARNA27",1,0,0,0,1,0,0
"150","SNORA84",1,0,7,4,1,2,1
"151","SNORA36C",0,0,0,1,0,0,0
"152","SNORA38B",0,0,0,1,0,0,0
"153","SNORA70B",0,0,0,0,0,0,0
"154","SNORA70C",0,0,0,0,0,0,0
"155","SNORA11B",0,0,0,0,0,0,0
"156","SNORA11C",0,0,0,0,0,0,0
"157","SNORA11D",0,0,1,0,0,0,2
"158","HOTAIR",2,3,229,119,204,27,368
"159","ZGLP1",31,11,47,46,52,15,51
"160","FAM86JP",232,583,675,642,1654,1678,94
"161","FMR1-AS1",1,0,4,0,0,0,0
"162","MIR298",1,0,0,0,2,0,0
"163","MIR300",0,0,0,0,0,0,0
"164","VTRNA2-1",5,5,0,0,0,0,20
"165","MIR509-2",0,0,0,0,0,0,0
"166","MIR450B",0,0,0,0,0,0,0
"167","MIR890",0,0,0,0,0,0,0
"168","MIR891B",0,0,0,0,0,0,0
"169","MIR888",0,0,0,0,0,0,0
"170","MIR892B",0,0,0,0,0,0,0
"171","MIR541",0,0,0,0,0,0,0
"172","MIR875",0,0,0,0,0,0,0
"173","MIR876",0,0,0,0,0,0,0
"174","MIR147B",0,0,5,8,4,17,0
"175","MIR744",0,0,0,0,0,0,0
"176","MIR877",8,0,0,0,0,0,0
"177","MIR665",0,0,0,0,0,0,0
"178","MIR873",0,0,0,0,0,0,0
"179","MIR374B",0,0,0,0,1,0,0
"180","MIR301B",0,0,0,0,0,0,0
"181","MIR216B",0,0,0,0,0,0,0
"182","MIR920",0,0,0,0,0,0,0
"183","MIR922",14,9,21,27,45,43,8
"184","MIR924",0,0,0,0,0,0,0
"185","MIR934",0,0,0,0,0,0,0
"186","MIR935",0,0,0,0,0,1,1
"187","MIR936",0,0,0,0,2,3,0
"188","MIR938",0,0,0,0,0,0,0
"189","MIR940",0,0,2,4,2,3,0
"190","MIR941-1",0,0,0,0,0,0,0
"191","MIR941-4",0,1,0,0,0,0,0
"192","MIR942",0,0,0,0,0,0,0
"193","MIR943",80,32,54,31,56,42,23
"194","MIR708",0,0,0,1,0,0,0
"195","MIR885",0,0,0,0,0,0,0
"196","MIR543",0,0,0,0,0,0,0
"197","MIR208B",0,0,0,0,0,0,0
"198","MIR509-3",0,0,0,0,0,0,0
"199","MIR937",24,30,21,30,83,71,12
"200","MIR941-2",0,0,0,0,0,0,0
"201","MIR944",0,0,0,0,0,0,0
"202","MIR891A",0,0,0,0,0,0,0
"203","MIR892A",0,0,0,0,0,0,0
"204","MIR874",0,0,0,0,0,0,0
"205","MIR889",0,0,0,0,0,0,0
"206","MIR190B",0,0,0,0,0,0,0
"207","MIR887",0,0,0,0,0,0,0
"208","MIR760",0,1,0,0,0,0,0
"209","MIR921",0,0,0,0,0,0,0
"210","MIR933",0,0,0,0,0,0,0
"211","MIR939",75,43,82,61,110,64,75
"212","MIR941-3",0,0,0,0,0,0,0
"213","MIR297",0,0,0,0,0,0,0
"214","MIR365A",0,0,0,0,1,0,0
"215","MIR365B",0,0,0,0,1,0,0
"216","LOC100126447",0,0,0,0,0,0,0
"217","GJE1",0,0,0,0,0,0,0
"218","LOC100126584",0,0,0,4,0,0,0
"219","LINC00322",0,0,12,1,1,20,2
"220","SNAR-G1",3,1,0,1,0,0,0
"221","SNAR-F",0,0,0,0,0,0,0
"222","NAV2-AS6",0,0,0,0,1,0,63
"223","EGOT",0,0,0,0,0,6,1
"224","GHRLOS",133,84,122,176,117,172,190
"225","SNAR-A1",1,1,1,2,0,2,0
"226","SNAR-A2",1,0,1,2,0,2,0
"227","SNAR-A12",0,1,1,1,0,1,0
"228","MINAR2",0,0,11,2,7,5,0
"229","SLCO4A1-AS1",113,70,40,51,38,34,90
"230","HECW1-IT1",0,0,0,0,0,0,0
"231","LOC100127955",1,1,0,0,0,4,0
"232","KRT73-AS1",0,0,0,0,2,2,0
"233","C8orf88",3,2,10,27,47,46,218
"234","LOC100128002",0,0,0,0,0,0,0
"235","ARHGAP44-AS1",0,0,0,1,0,0,6
"236","DPPA2P3",0,0,0,0,0,0,0
"237","WWTR1-AS1",13,5,18,16,18,11,1
"238","PLCE1-AS1",0,0,0,0,0,0,200
"239","SMARCA5-AS1",15,10,10,7,37,10,6
"240","LOC100128059",0,0,0,0,0,0,0
"241","FAM229A",8,7,9,23,33,12,17
"242","LOC100128076",0,0,0,0,6,0,0
"243","LOC100128079",3,3,11,11,10,9,3
"244","JAZF1-AS1",7,3,4,2,5,4,26
"245","ST8SIA6-AS1",2,2,38,23,24,23,1
"246","UBE2Q2P13",0,1,1,3,1,0,16
"247","HGC6.3",0,0,0,0,0,0,0
"248","STAU2-AS1",1,4,0,7,0,0,15
"249","ADGRA1-AS1",0,0,0,0,0,0,0
"250","LINC01233",0,0,0,0,0,0,0
"251","LOC100128164",4,4,13,11,5,1,28
"252","UST-AS1",5,19,5,2,23,9,2
"253","TMPO-AS1",216,76,269,294,127,133,439
"254","LINC02324",0,0,0,0,1,0,2
"255","LINC02731",0,0,4,3,10,29,0
"256","ZNF667-AS1",0,1,0,0,0,0,0
"257","LOC100128253",2,7,0,1,6,1,1
"258","WASIR1",5,8,126,32,314,76,0
"259","TNK2-AS1",9,4,30,80,111,88,1
"260","HTR5A-AS1",0,0,0,0,0,0,0
"261","LOC100128276",0,0,0,0,0,0,0
"262","DNM1P35",6,8,14,15,14,15,6
"263","LOC100128288",25,13,13,11,55,17,41
"264","DLG5-AS1",35,43,85,102,154,168,58
"265","LOC100128310",0,0,0,0,0,0,0
"266","LOC100128317",0,0,0,0,0,0,0
"267","LINC03008",0,0,0,0,0,0,0
"268","TRAPPC3L",0,0,0,0,0,0,8
"269",NA,702,1515,1145,1844,3564,4214,2
"270","LOC100128340",18,33,61,100,112,129,10
"271","LOC100128361",63,48,55,117,132,127,261
"272","LINC00696",0,0,0,0,8,0,0
"273","FAM225B",2,1,202,99,287,139,28
"274","ARHGAP42-AS1",0,3,4,6,18,10,1
"275","LOC100128398",0,0,32,7,34,11,10
"276","LINC00892",0,0,1,0,0,0,0
"277","LOC100128494",309,364,438,219,605,253,99
"278","SCP2D1-AS1",0,0,0,0,0,0,0
"279","ASTN2-AS1",0,0,0,0,1,0,0
"280","NEBL-AS1",3,8,26,8,88,57,0
"281","KIAA1671-AS1",0,1,9,7,22,13,1
"282","MIR29B2CHG",4,0,2,3,2,4,2
"283","CTAGE4",154,192,53,39,86,58,17
"284","LINC02347",0,0,0,0,0,0,0
"285","MYHAS",0,0,0,0,0,0,0
"286","RANBP3-DT",1,3,9,3,6,4,7
"287","TEKTIP1",166,111,102,225,201,299,413
"288","SLC8A1-AS1",0,2,0,0,0,0,1
"289","LOC100128593",0,1,0,0,0,0,0
"290","TMSB15B-AS1",0,3,18,20,30,29,25
"291","CDC42P3",208,236,89,103,155,151,179
"292","ACVR2B-AS1",7,27,19,17,40,13,6
"293","LOC100128653",10,9,22,9,14,13,135
"294","HPN-AS1",0,3,5,3,3,4,0
"295","LINC01531",0,0,0,0,0,0,0
"296","GPR50-AS1",0,0,0,0,0,0,0
"297","LINC02346",0,0,0,0,0,0,0
"298","OST4",2414,3342,2599,2242,6614,4037,1530
"299","RBPMS-AS1",28,22,273,197,658,238,133
"300","LOC100128770",31,36,185,131,276,152,0
"301","ERCC6L2-AS1",122,222,303,187,619,268,139
"302","LINC01349",0,0,0,0,0,0,0
"303","SRRM2-AS1",8,16,45,36,126,90,8
"304","GPR158-AS1",0,0,0,6,3,2,0
"305",NA,0,3,0,4,0,0,1
"306","LINC01003",19,38,415,304,1043,778,42
"307","VPS9D1-AS1",1891,2046,1562,1951,1129,1161,60
"308","ZFPM1-AS1",0,0,7,1,7,2,1
"309","LOC100128885",0,0,0,1,0,0,0
"310","FAM66B",2,0,14,6,21,3,14
"311","GATA6-AS1",0,1,6,0,12,1,11
"312","LINC01960",0,0,0,0,0,0,0
"313","CIROP",3,5,29,14,15,15,11
"314","ZBTB42",344,441,1909,1739,3921,3197,163
"315","LINC01310",0,0,0,1,0,1,0
"316","LOC100128966",2,2,6,2,7,0,0
"317","MAPT-AS1",0,0,4,0,4,1,0
"318","LOC100128988",0,1,110,44,124,96,0
"319","LOC100128993",0,0,0,0,0,0,0
"320","C20orf181",0,0,0,0,0,0,0
"321","PCBP3-AS1",0,1,0,4,0,1,0
"322","PKP4-AS1",86,110,100,77,255,197,98
"323","LOC100129034",4460,4335,5074,7582,9500,10546,11286
"324","BCAR3-AS1",42,89,25,13,54,36,40
"325","CCNYL4",1,5,0,0,0,0,0
"326","SEMA3F-AS1",264,255,196,228,286,177,407
"327","LOC100129066",0,0,0,0,4,1,0
"328","KTN1-AS1",117,186,99,81,192,157,38
"329","SIGLEC10-AS1",10,4,0,4,4,1,3
"330","BTNL10P",2,5,4,7,34,7,1
"331","LOC100129098",0,0,0,0,0,0,0
"332","KHDC1L",126,138,4,5,1,6,2
"333","TDH-AS1",0,0,64,34,48,23,7
"334","LOC100129138",36,24,11,9,22,22,9
"335","LOC100129148",273,153,166,295,311,309,249
"336","LOC100129175",10,5,8,1,7,0,0
"337","ZSCAN16-AS1",183,328,196,111,315,144,170
"338","MATN1-AS1",9,45,19,16,56,23,10
"339","LOC100129203",0,0,4,2,1,0,0
"340","SLC39A12-AS1",0,0,0,0,0,0,0
"341","LOC100129215",67,43,19,30,17,17,31
"342","DEFB131B",0,1,1,3,1,0,0
"343","THCAT155",0,0,0,0,0,0,0
"344","CXorf51A",0,0,0,0,0,0,0
"345","SMIM27",58,53,94,76,104,90,21
"346","LINC01160",0,0,1,1,2,1,1
"347","C1orf68",0,0,0,0,7,2,0
"348","TDRD15",0,1,0,0,0,0,0
"349","LOC100129291",0,0,0,0,0,4,0
"350","CD200R1L-AS1",0,0,0,1,0,0,0
"351","LOC100129307",0,0,0,0,0,0,0
"352","LOC100129316",0,0,0,0,0,1,1
"353","LINC02291",1,0,1,1,1,0,0
"354","LINC00484",0,1,0,0,0,0,5
"355","NRADDP",6,0,0,0,0,0,0
"356","SMIM10L1",932,1214,1041,956,1552,1552,1000
"357","LINC03041",0,0,0,0,0,0,1
"358","GABPB1-AS1",114,69,734,425,1477,776,158
"359","FAM106C",0,0,0,0,0,0,0
"360","MSTO2P",809,880,434,608,551,482,862
"361","FAM236A",1,0,1,0,2,0,0
"362","RPL19P12",685,686,126,177,123,94,212
"363","DDC-AS1",0,0,0,0,2,0,0
"364","LOC100129434",0,0,66,33,52,36,2
"365","LOC100129455",4,0,43,24,42,37,39
"366","DPY19L1P1",55,50,55,38,46,54,39
"367","LYRM4-AS1",47,63,123,126,142,146,45
"368","LINC01546",0,0,0,1,0,0,19
"369","MKRN2OS",35,89,189,183,420,379,8
"370","ZNF37BP",231,311,259,88,165,94,169
"371","LINC02983",17,77,178,163,588,407,3
"372",NA,23,7,32,53,103,98,102
"373","ETDB",0,0,0,0,1,0,0
"374","LINC02012",2,3,26,40,32,14,46
"375","SOD2-OT1",29,12,32,57,53,75,108
"376","TEX13C",0,0,0,0,1,0,0
"377","MUC8",0,0,0,3,1,3,0
"378","LOC100129534",32,45,21,29,25,35,38
"379","LOC100129540",14,27,0,0,7,0,13
"380","ZNF730",0,0,69,78,68,31,1
"381","LINC02035",44,99,41,48,120,86,55
"382","FAM47E",11,7,71,48,87,106,9
"383","LINC00462",0,0,0,0,0,0,0
"384","LOC100129603",3,1,1,0,0,0,0
"385","LOC100129617",0,0,0,0,2,1,2
"386","PLPPR5-AS1",0,0,1,4,4,10,0
"387","OR2W1-AS1",1,2,0,1,1,1,1
"388","TCF24",0,1,15,15,46,33,23
"389","FGF13-AS1",0,0,0,1,0,0,5
"390","IZUMO3",0,0,0,0,0,0,0
"391","LOC100129697",0,1,35,38,94,83,0
"392","ARRDC3-AS1",13,3,6,2,78,37,13
"393","STPG3-AS1",2,1,5,5,2,2,2
"394","MAPRE3-AS1",1,0,0,0,0,0,0
"395","LINC01126",1,0,4,0,20,8,0
"396","MIR193BHG",19,21,51,42,330,146,23
"397","CCDC152",18,15,6,3,6,5,0
"398","SLC25A21-AS1",30,71,108,75,131,87,35
"399","ZNF807P",15,22,10,16,17,15,29
"400","IRAG1-AS1",32,39,1,0,7,3,1
"401","COL4A2-AS2",0,0,0,0,0,0,24
"402","ZNF737",1,1,108,78,207,118,0
"403","PCOLCE-AS1",14,4,9,10,28,12,142
"404","SCOC-AS1",41,45,6,4,15,5,9
"405","DYM-AS1",0,2,8,2,7,7,2
"406","PCGF3-AS1",28,34,18,47,54,68,6
"407","TMEM269",6,8,18,4,24,7,7
"408","LOC100129931",1616,2065,654,438,1279,693,263
"409","LOC100129935",1,1,0,0,0,0,0
"410","HMGA2-AS1",68,102,1,0,0,0,2
"411","CCNT2-AS1",27,34,55,37,135,59,31
"412","FAM205C",0,0,0,1,1,0,0
"413","CERNA1",49,33,78,45,180,57,5
"414","LINC01460",2,1,0,0,0,0,0
"415","HDAC6",384,298,463,329,698,406,956
"416","URAHP",219,238,548,448,1000,591,199
"417","FTLP10",0,2,0,0,0,1,0
"418","LOC100130027",57,61,164,250,261,364,52
"419","LOC100130075",34,73,18,4,45,17,6
"420","HSFX2",8,6,30,32,44,27,81
"421","LOC100130111",0,9,18,14,28,23,37
"422","MAPT-IT1",0,0,0,0,0,0,0
"423","MIR124-2HG",0,1,0,0,0,0,0
"424","FAM13B-AS1",5,7,7,9,8,6,3
"425","EFCAB14-AS1",35,55,22,6,73,33,12
"426","LOC100130207",2,2,0,0,1,2,0
"427","LINC00861",0,6,0,0,0,0,0
"428","LOC100130238",59,84,159,136,334,176,0
"429","LINC02961",0,0,0,0,0,0,2
"430","LOC100130256",1,1,1,0,2,0,1
"431","SLC24A3-AS1",0,0,3,2,0,0,0
"432","LOC100130268",0,0,0,0,0,0,0
"433","CCDC166",0,0,5,1,18,2,0
"434","TFAP2A-AS1",26,23,14,25,25,44,39
"435","LOC100130283",861,353,1166,1894,1520,1482,2091
"436","LOC100130298",0,1,0,0,0,0,0
"437","C8orf89",0,0,0,0,1,0,0
"438","SUPT20HL1",0,0,0,0,0,0,0
"439","C17orf107",12,26,43,16,69,29,28
"440","LOC100130331",1119,1010,187,253,412,302,459
"441","SCGB2B3P",0,0,0,0,0,0,0
"442","LOC100130345",2,1,47,52,81,68,0
"443","TMEM262",9,1,99,49,31,23,65
"444","LOC100130357",6,3,4,4,4,2,6
"445","CXorf49",0,0,1,2,0,6,0
"446","LINC03048",0,1,5,3,14,23,0
"447","EPB41L1-AS1",0,0,0,0,0,1,0
"448","LINC00552",2,1,1,0,0,0,2
"449","LINC02593",8,1,335,673,670,970,55
"450","CECR7",274,539,1,0,1,0,2
"451","GPC1-AS1",1,0,156,131,415,341,0
"452","SPAG16-DT",0,0,0,0,0,0,0
"453","LOC100130452",2,1,0,0,2,0,0
"454","CAND1.11",1,1,0,0,12,0,0
"455","WAKMAR2",0,1,0,0,5,4,1
"456","LINC01387",0,0,0,0,0,0,0
"457","TMEM221",146,167,141,48,112,41,2
"458","CD300H",2,4,0,0,0,0,0
"459","PARD6G-AS1",5,17,2,0,5,11,3
"460","LINC02881",0,0,0,0,1,0,0
"461","LOC100130548",0,0,13,9,19,1,2
"462","NFYC-AS1",58,75,67,65,118,105,62
"463","LINC00910",24,23,73,62,147,63,54
"464","LOC100130587",1,3,0,0,0,0,0
"465","PRR32",0,0,0,0,0,0,0
"466","LOC100130673",3,17,1,4,12,1,0
"467","LOC100130691",24,25,0,0,0,0,22
"468","LOC100130698",19,17,3,1,2,2,2
"469","TP53TG3HP",0,0,0,0,0,0,0
"470","LRRC58-DT",6,4,16,8,44,18,367
"471","ATP6V1FNB",11,8,12,18,58,38,105
"472","HDHD5-AS1",14,12,12,4,28,6,0
"473","LRRC70",12,3,0,2,0,1,1
"474","LRRC69",12,25,7,7,8,11,6
"475","LOC100130744",57,91,57,100,110,103,75
"476","EFCAB10",293,371,142,163,448,422,166
"477","AGAP2-AS1",752,692,1011,1373,1625,1773,12098
"478","SBK3",7,14,3,3,8,4,1
"479","LOC100130849",0,1,0,0,0,0,0
"480","USP3-AS1",185,200,147,91,311,198,49
"481","LOC100130872",0,0,0,2,5,14,0
"482","CREB3L2-AS1",0,0,0,0,0,0,0
"483","ATE1-AS1",3,0,1,4,7,8,25
"484","PSORS1C3",0,0,0,0,0,0,0
"485","TSTD3",132,155,207,171,394,235,74
"486","VAC14-AS1",34,25,20,30,40,35,27
"487","SMIM6",8,17,0,2,3,3,0
"488","ZNF663P",0,0,0,0,0,0,0
"489","CSAG4",57,101,0,0,0,0,1
"490","ZNF594-DT",29,21,34,21,33,17,2
"491","LINC01502",0,0,0,0,0,0,0
"492","SYCE1L",138,181,108,102,151,153,86
"493","LOC100130964",0,0,0,0,0,0,0
"494","LINC02901",139,104,89,51,203,102,32
"495","LOC100130987",57,48,142,65,320,141,18
"496","SPATA48",0,6,0,0,0,0,0
"497","LOC100130992",1,7,27,19,103,19,28
"498","ZNF316",1246,757,2188,3241,3837,5034,1182
"499","DNAH8-AS1",0,0,0,0,0,0,0
"500","LINC01135",4,1,1,1,2,0,0
"501","CKMT2-AS1",174,212,99,77,133,112,125
"502","SRP14-DT",112,201,64,46,173,48,113
"503","DPP9-AS1",159,139,126,162,249,398,265
"504",NA,53,62,63,53,154,112,18
"505","LOC100131107",0,0,3,3,8,4,0
"506","ZBTB20-AS1",0,3,0,0,0,0,0
"507","BSPH1",0,0,0,0,0,0,0
"508","LINC01405",65,94,0,0,0,1,0
"509","WDR86-AS1",0,0,0,1,0,0,0
"510","TSTD1",3252,3564,3059,1666,5302,3003,0
"511","CCDC183-AS1",19,22,30,34,74,82,14
"512","RPL21P28",2352,3230,2134,5244,2848,4412,3329
"513","SNAP25-AS1",0,0,0,0,1,0,0
"514","NEMP2",360,333,97,128,48,51,688
"515","ZNF503-AS2",200,237,144,108,261,157,58
"516","MIR181A1HG",0,0,0,0,0,0,2
"517","ANKRD63",15,16,16,36,12,7,363
"518","LOC100131257",5,10,1,1,0,1,3
"519","LOC100131289",10,1,0,4,0,0,1
"520","DPEP2NB",0,0,0,3,0,0,3
"521","GREM1-AS1",0,0,0,0,0,0,16
"522","RAB6C-AS1",27,43,20,14,26,16,7
"523","RDM1P5",6,3,42,30,56,28,4
"524","LINC00605",0,0,0,0,0,0,0
"525","C11orf91",126,131,65,77,197,271,233
"526","SP9",23,40,16,10,13,7,77
"527","LOC100131395",0,0,0,1,0,0,0
"528","EOLA1-DT",3,6,4,8,10,5,1
"529","CD300LD",0,0,0,0,0,0,0
"530","DBIL5P",38,27,32,61,58,39,55
"531","LOC100131472",0,0,0,0,0,0,0
"532","LOC100131496",0,3,8,6,19,3,4
"533","LOC100131532",0,0,0,0,0,0,0
"534","ZNF705EP",2,2,0,2,3,2,0
"535","LINC00887",3,1,40,17,145,108,0
"536","FKSG29",0,0,0,0,0,0,0
"537","CCDC18-AS1",56,73,13,26,26,8,33
"538","DPP4-DT",116,145,41,31,53,21,10
"539","PRR23D1",5,3,0,0,1,2,0
"540","LOC100131626",5,9,7,10,15,20,2
"541","LOC100131635",0,0,0,0,4,0,0
"542","ZNF236-DT",3,1,6,22,43,23,18
"543","MZF1-AS1",104,171,130,106,253,268,95
"544","FAM83A-AS1",1,1,4,12,25,33,0
"545","USP30-AS1",1,2,1,2,8,4,1
"546","ARMCX4",18,24,43,14,15,7,381
"547","PET100",2034,2137,2162,2736,3991,3918,2362
"548","AHI1-DT",4,4,12,9,21,5,1
"549","UBE2DNL",0,0,0,0,0,0,0
"550","CADM3-AS1",0,0,0,0,0,0,27
"551","ZNF717",0,0,0,0,2,0,39
"552","INSYN2B",0,0,0,0,0,0,118
"553","KRTAP25-1",0,0,0,0,0,0,0
"554","LOC100131943",2,1,1,1,0,0,0
"555","ZNF705G",1,0,0,0,0,0,1
"556","FAM27E3",33,59,0,0,0,0,7
"557","RRN3P3",156,197,357,348,262,344,95
"558","LOC100132004",0,0,0,0,0,0,0
"559","TEX13D",0,0,0,0,0,0,0
"560","PDE4DIPP6",4,11,32,22,46,19,30
"561","LOC100132062",29,18,50,33,55,23,3
"562","FOXO6",185,115,570,735,1343,967,38
